name,content,source
Subadditivity,"The tendency to judge the probability of the whole to be less than the sum of the probabilities of the component parts.

For instance, subjects in one experiment judged that the probability of death from cancer in the United States was 18%, the probability from heart attack was 22%, and the probability of death from ""other natural causes"" was 33%. Other participants judged that the probability of death from a natural cause was 58%. Natural causes are made up precisely of cancer, heart attack, and ""other natural causes,"" however, the sum of the latter three probabilities was 73%, and not 58%. According to Tversky and Koehler (1994) this kind of result is observed consistently.",http://en.wikipedia.org/wiki/Subadditivity_effect
Subjective Validation,"The perception that something is true if a subject's belief demands it to be true. Also assigns perceived connections between coincidences. In other words, a person whose opinion is affected by Subjective Validation will perceive two unrelated events (i.e., a coincidence) to be related because their personal belief demands that they be related.",http://en.wikipedia.org/wiki/Subjective_validation
Well-travelled Road Effect,The Well-travelled Road Effect is a cognitive bias in which travellers will estimate the time taken to traverse routes differently depending on their familiarity with the route. Frequently travelled routes are assessed as taking a shorter time than unfamiliar routes.,http://en.wikipedia.org/wiki/Well_travelled_road_effect
Actor-observer Asymmetry,"Actors, those assessing their own behavior, tend to emphasize the influence of the situation and the situation's effect on their behavior, and under-emphasize the influence of their own character. When observing others' actions, observers tend to emphasize aspects of behavior and personality, and how those characteristics lead to a behavior, rather than the situation's influence.

This has been demonstrated in studies by differentiating between actors' and observers' explanations in the following way: people's explanations are separated into theoretically meaningful distinctions (e.g., reasons vs. causal history of reason explanations). Then responses can be effectively categorized, and the differences emerge.",http://en.wikipedia.org/wiki/Actor%E2%80%93observer_bias
Dunning–Kruger Effect,"The unskilled suffer from illusory superiority, rating their ability as above average (much higher than it actually is), while the highly skilled underrate their own abilities, suffering from illusory inferiority, as they assume others have a similar understanding. As Kruger and Dunning noted, ""the miscalibration of the incompetent stems from an error about the self, whereas the miscalibration of the highly competent stems from an error about others"".

Dunning and Kruger concluded, ""across four studies, the authors found that participants scoring in the bottom quartile on tests of humor, grammar, and logic grossly overestimated their test performance and ability. Although test scores put them in the 12th percentile, they estimated themselves to be in the 62nd."" Meanwhile, people with true ability tended to underestimate their relative competence. Roughly, participants who found tasks to be relatively easy erroneously assumed, to some extent, that the tasks must also be easy for others.

Studies on the Dunning–Kruger Effect tend to focus on American test subjects. Similar studies on European subjects show marked muting of the effect; studies on some East Asian subjects suggest that something like the opposite of the Dunning–Kruger effect operates on self-assessment and motivation to improve.",http://en.wikipedia.org/wiki/Dunning%E2%80%93Kruger_effect
Egocentric Bias,This occurs when people claim more personal responsibility for the results of a joint action than an outside observer would credit them. This is unique because they will take an unfair share of credit for both positive and negative results.,http://en.wikipedia.org/wiki/Egocentric_bias
Forer (or Barnum) Effect,"The tendency to believe that a description of your own personality is accurate despite the fact that it is vague enough to apply to a wide range of people. 

In 1948, psychologist Bertram R. Forer gave a personality test to his students. He told his students they were each receiving a unique personality analysis that was based on the test's results and to rate their analysis on a scale of 0 (very poor) to 5 (excellent) on how well it applied to themselves. In reality, each received the same analysis. On average, the rating was 4.26, but only after the ratings were turned in was it revealed that each student had received identical copies assembled by Forer from various horoscopes.",http://en.wikipedia.org/wiki/Forer_effect
False Consensus Effect,"A person tends to overestimate how much other people agree with him or her. There is a tendency for people to assume that their own opinions, beliefs, preferences, values, and habits are 'normal', and that others also think the same way that they think. This can either lead a person to believe that his opinions are shared by the majority, or, even if he is aware that they are not shared by the majority, he will overestimate the number of people with whom he shares the opinion. Additionally, when confronted with evidence that a consensus does not exist, people often assume that those who do not agree with them are defective in some way.

This bias can be traced back to primarily two roots. According to social comparison, individuals evaluate their thoughts and attitudes based on other people, and often look towards others to find a ""norm"" by which they may judge themselves. The problem, though, is that people are often unable to accurately perceive the social norm and the actual attitudes of others. Due to projection, a person may see aspects of himself in others, whether accurate, imagined, or exaggerated.",http://en.wikipedia.org/wiki/False_consensus_effect
Fundamental Attribution Error,"The tendency for people to over-emphasize personality-based explanations for behaviors observed in others while under-emphasizing the role and power of situational influences on the same behavior. Similar to Actor-observer Bias, but in this case the focus is on a person's interpretation of others' actions, rather than of one's own actions.

Jones and Harris hypothesized that people would attribute apparently freely-chosen behaviors to disposition, and apparently chance-directed behaviors to situation. The hypothesis was confounded by the Fundamental Attribution Error. Subjects read pro- and anti-Fidel Castro essays, and were then asked to rate the pro-Castro attitudes of the writers. When the subjects believed that the writers freely chose the positions they took (for or against Castro), they naturally rated the people who spoke in favor of Castro as having a more positive attitude towards Castro. However, contradicting Jones's and Harris's initial hypothesis, when the subjects were told that the writers' positions were determined by a coin toss, they still rated writers who spoke in favor of Castro as having, on average, a more positive attitude towards Castro than did those who spoke against him. In other words, the subjects were unable to see the influence of the situational constraints placed upon the writers; they could not refrain from attributing sincere belief to the writers.",http://en.wikipedia.org/wiki/Fundamental_attribution_error
Halo Effect,"The perception of one trait (i.e. a characteristic of a person or object) is influenced by the perception of another trait (or several traits) of that person or object. An example would be judging a good-looking person as more intelligent.

In a psychology study published in 1920, Thorndike asked commanding officers to rate their soldiers; he found high cross-correlation between all positive and all negative traits. People seem not to think of other individuals in mixed terms; instead we seem to see each person as roughly good or roughly bad across all categories of measurement.",http://en.wikipedia.org/wiki/Halo_effect
Illusion of Asymmetric Insight,"People perceive their knowledge of their peers to surpass their peers' knowledge of them. Furthermore, a group of people often assumes that they know more about other groups than other groups know about them. The source for this bias seems to stem from the fact that observed behaviors of others are more revealing than one's own similar behaviors.",http://en.wikipedia.org/wiki/Illusion_of_asymmetric_insight
Illusion of Transparency,"A tendency for people to overestimate the degree to which their personal mental state is known by others. Another manifestation of the Illusion of Transparency (sometimes called the Observer's Illusion of Transparency) is a tendency for people to overestimate how well they understand others' personal mental states.

Initial anxiety in a public speaking situation can cause stress that, because of the Illusion of Transparency, the speaker may feel is evident to the listeners. This mistaken perception can cause the speaker to compensate, which he or she then feels is even more obvious to the crowd, and the stress increases in a feedback loop. Awareness of the limits of others' perceptions of one's mental state can help break the cycle and reduce speech anxiety.",http://en.wikipedia.org/wiki/Illusion_of_transparency
Illusory Superiority,"Overestimating one's desirable qualities, and underestimating undesirable qualities, relative to other people. (Also known as ""Lake Wobegon Effect,"" ""Better-than-average Effect,"" or ""Superiority Bias""). 

In Kruger and Dunning's experiments, participants were given specific tasks (such as logic problems, grammar, and determining whether or not jokes were funny), and were asked to evaluate their performance on these tasks relative to the rest of the group, enabling a direct comparison of their actual and perceived performance. Results were divided into four groups, depending on actual performance. It was found that all four groups evaluated their performance as above average, meaning that the lowest-scoring group (the bottom 25%) showed a very large Illusory Superiority Bias. The researchers attributed this to the fact that the individuals who were worst at performing the tasks were also worst at recognizing skill in those tasks. This was supported by the fact that, given training, the worst subjects improved their estimate of their rank as well as getting better at the tasks.",http://en.wikipedia.org/wiki/Illusory_superiority
In-group Bias,"The tendency for people to give preferential treatment to others they perceive to be members of their own groups.

The need to improve self esteem may be one cause of this bias: individuals will find a reason, no matter how insignificant, to prove to themselves why their group is superior. By having a more positive impression of individuals in the in-group, individuals are able to boost their own self-esteem as members of that group.

Robert Cialdini and his research team looked at the number of university T-shirts being worn on college campuses following either a win or loss at the football game. Not surprisingly, the Monday after a win there were more T-shirts being worn, on average, than following a loss.

The bias may lead to inter-group aggression, competition, and prejudice. ",http://en.wikipedia.org/wiki/Ingroup_bias
Just-world Phenomenon,"The tendency for people to want to believe that the world is fundamentally just. As a result, when they witness an otherwise inexplicable injustice, they rationalize it by searching for things that the victim might have done to deserve it, often at the expense of blaming victims for things that were not, objectively, their fault.

One cause of this phenomenon may be the need to protect one's own sense of invulnerability. They want to believe that if the potential victim avoids the behaviors of the past victims, then they themselves will remain safe.

In one study, female and male subjects were told two versions of a story about an interaction between a woman and a man. Both variations were exactly the same, except one ending was that the man raped the woman, and in the other he proposed marriage. In both conditions, both female and male subjects viewed the woman's (identical) actions as inevitably leading to the (very different) results.",http://en.wikipedia.org/wiki/Just-world_phenomenon
Moral Luck,"The tendency for people to ascribe greater or lesser moral standing based on the outcome of an event rather than on the intention. For example, if two drivers run two different red lights, and, all else being equal, one of them hits a person who was crossing the street while the other gets only a traffic ticket, we want to say that the driver who hit a person is more morally corrupt. Both drivers committed the same offense, but under different circumstances. ",http://en.wikipedia.org/wiki/Moral_luck
Out-group Homogeneity Bias,"One perceives out-group members as being more similar to one another than are in-group members. The notion is that ""they are alike; we are diverse."" 

This bias was found to be unrelated to the number of group and non-group members individuals knew. For example, the Out-group Homogeneity Bias was found between groups such as ""men"" and ""women,"" despite the fact that members of each group interact with one another frequently.",http://en.wikipedia.org/wiki/Outgroup_homogeneity_bias
Projection Bias,"A psychological defense mechanism where a person subconsciously denies his or her own attributes, thoughts, and emotions, which he or she then ascribes to the outside world, usually to another person or other people.

In one example posed by Sigmund Freud, a person might have thoughts of infidelity with respect to a spouse or other partner. Instead of dealing with these undesirable thoughts consciously, the subject unconsciously projects these feelings onto the other person, and begins to think that the other has thoughts of infidelity and that the other may be having an affair.

Projection can also be a means of justifying certain actions that would normally be found atrocious or heinous. This often means projecting false accusations, information, etc. for the sole purpose of maintaining a self-created illusion about one's own subconscious actions or feelings.",http://en.wikipedia.org/wiki/Projection_bias
Self-serving Bias,"Occurs when people attribute their successes to internal or personal factors, but attribute their failures to situational factors beyond their control. The Self-serving Bias can be seen in the common human tendency to take credit for success but to deny responsibility for failure. 

One example of Self-serving Bias can be found in the workplace. Victims of serious occupational accidents tend to attribute their accidents to external factors, whereas their coworkers and management tend to attribute the accidents to the victims' own actions.

There are several possible causes of this bias. People are motivated to protect their self-esteem; they may be attempting to protect their reputation by advertising successes and shifting blame for failures publicly, regardless of their true understanding of the situation. Additionally, success may be more readily available to memory than failure.",http://en.wikipedia.org/wiki/Self-serving_bias
System Justification,"A scientific theory within social psychology that proposes that people have a motivation to defend and bolster the status quo, i.e., to see it as good, legitimate, and desirable.

Early SJT (Situational Judgment Tests) research focused on compensatory stereotypes. Experiments suggested that the widespread endorsement of stereotypes such as ""poor but happy"" or ""rich but miserable"" exist to balance out the gap between those of low and high socioeconomic status. Later work suggested that these compensatory stereotypes are preferred by leftists while rightists prefer non-complimentary stereotypes such as ""poor and dishonest"" or ""rich and honest"", which rationalize inequality rather than compensate for it.

This differs from the Status Quo Bias because it is predominately motivational, rather than cognitive. It is considered to be motivational because its effects are exacerbated when people are under psychological threat, or when they feel their outcomes are especially dependent on the system that is being justified.",http://en.wikipedia.org/wiki/System_justification
Ultimate Attribution Error,"This is a bias that people commonly have toward members of an out-group. Similar to the Fundamental Attribution Error, in this error a person is likely to make an internal attribution to an entire group instead of the individuals within the group. For example, they may view negative acts committed by out-group members as a stable trait of the out-group, and positive acts committed by out-group members as exceptions to normal behavior. It is considered to be one of the roots of prejudice.

In his 1976 demonstration, Birt Duncan asked White participants to watch a video of a man shoving another man. One video had a Caucasian male shoving another Caucasian male and a second video had an African American male shoving a Caucasian male. When the participants watched the first video they concluded that the Caucasian male doing the shoving was attributed to having fun (a situational factor), but when they watched the second video they attributed the African American’s behavior to an aggressive personality (Duncan, 1979). The results of Duncan's study demonstrates that ultimate attribution error is more likely to occur when there are negative associations with members of an out-group due to previous conflict or certain situations that were experienced (Whitley & Kite, 2010).",http://en.wikipedia.org/wiki/Ultimate_attribution_error
Trait Ascription Bias,"The tendency for people to view themselves as relatively variable in terms of personality, behavior and mood while viewing others as much more predictable. This may be because our own internal states are much more observable and available to us than those of others.",http://en.wikipedia.org/wiki/Trait_ascription_bias
Inoculation Effect,"When we hear bad arguments (that we know are bad) in favor of a hypothesis, we may end up believing that hypothesis less, even though we have not necessarily heard any of the good arguments in favor of the hypothesis. It seems to us that if the bad arguments for a hypothesis are wrong, the hypothesis is likely to be false, even though how likely something is to be true hinges on the best arguments for it, not the worst.",http://en.wikipedia.org/wiki/Inoculation_theory
Backtracking Effect,"People are less happy doing things that involve undoing what they did previously than spending the same amount of time doing extra work that does not involve backtracking. 

This is related to Trial and Error. For example, consider coming cross a fork in a road. You decide to take route A instead of route B. Halfway down the path, you realize you are going the wrong way and need to take route B. Backtracking can also occur when solving puzzles, such as Sudoku or crossword puzzles.",http://en.wikipedia.org/wiki/Backtracking
Precision/Accuracy Bias,"People believe that numbers that are stated more precisely (e.g. 75.1259) are more accurate than numbers that are not (e.g. 75). While precision (e.g. lots of decimal points) is necessary for very high levels of accuracy, precision does not necessarily imply accuracy, and when calculators or computers are used to compute quantities, high precision numbers are trivially easy to produce.",http://en.wikipedia.org/wiki/Precision_bias
Handedness Bias,"Our tendency to prefer objects (or attribute better qualities to them) when they are presented on the strong side of our bodies (the right side for right handed people, and the left side for left handed people).",http://www.sott.net/articles/show/241582-Different-Bodies-Different-Minds-The-Handedness-Bias
Fallacy of Difference,"The tendency to attribute the outcome of a situation to whatever traits make that situation most unusual.

For instance, if you're friend and his wife get a divorce, you might assume that it was due to the fact that they were in an open marriage (a trait that made their marriage stand out as unusual), rather than taking into account the fact that it is common for relationships of all types to end.",http://rationallyspeaking.blogspot.com/2011/07/fallacy-of-difference-in-science-and.html
Thinking in Categories / Binary Thinking,"Lumping things into simple categories, like ""good and bad"", ""right and wrong"", ""easy and hard"" rather than viewing things as being on a continuum.",http://www.haas.berkeley.edu/groups/finance/cat3.pdf
"Temporal Discounting","This is similar to Hyperbolic Discounting in that subjects prefer benefits or rewards sooner rather than later, which may lead to Dynamic Inconsistency: how each different self of a decision-maker may have different preferences over current and future choices. For example, a decision maker holds the view that ""now"" has especially high value compared to any future time. This Temporal Discounting is a tendency to give greater value to rewards as they move away from their temporal horizons and towards the ""now"". For instance, a nicotine-deprived smoker may highly value a cigarette available any time in the next 6 hours but assign little or no value to a cigarette available in 6 months.","http://en.wikipedia.org/wiki/Dynamic_inconsistency
http://en.wikipedia.org/wiki/Temporal_discounting"
Disjunction Fallacy,"The use of the Representativeness Heuristic may lead to a Disjunction Fallacy. From probability theory, the disjunction of two events is at least as likely as either of the events individually. For example, the probability of being either a physics or a biology major is at least as likely as being a physics major, if not more likely. However, when a personality description (data) seems to be very representative of a physics major (e.g., pocket protector) over a biology major, people judge that it is more likely for this person to be a physics major than a natural sciences major (which is a superset of physics).

Further evidence that the Representativeness Heuristic may be causal to the Disjunction Fallacy comes from Bar-Hillel and Neter (1986). They found that people judge a person who is highly representative of being a statistics major (e.g., highly intelligent, does math competitions) as being more likely to be a statistics major than a social sciences major (superset of statistics), but they do not think that he is more likely to be a Hebrew language major than a humanities major (superset of Hebrew language). Thus, only when the person seems highly representative of a category is that category judged as more probable than its superordinate category. These incorrect appraisals remained even in the face of losing real money in bets on probabilities.",http://en.wikipedia.org/wiki/representativeness_heuristic
Ad Hoc Rescue,"Trying to save a cherished belief by repeatedly revising the argument to explain away problems.

""But apart from better sanitation, medicine, education, irrigation, public health, roads, a freshwater system and public order.. What have the Romans done for us?"" ",
Ad Hominem ,"Bypassing the argument by launching an irrelevant attack on the person and not their claim. 

""Anyone that says we should build the Ground Zero Mosque is an American-hating liberal.""",rhetological fallacies spreadsheet
Anecdotal evidence fallacy,"Discounting evidence arrived at by systematic search or testing in favor of a few firsthand stories.

""I'm going to carry on smoking. My grandfather smoked 40 a day until he died aged 90.""",rhetological fallacies spreadsheet
Appeal to Probability Fallacy,"Possibly P. Therefore, P.

Assumes that because something could happen, it is inevitable that it will happen.
""There are many hackers that spread worms through the internet. Therefore, if you use the internet without a firewall, it is inevitable that you will be hacked sooner or later.""",http://en.wikipedia.org/wiki/appeal_to_probability
Argument from Fallacy,"If P, then Q. 
P is a fallacious argument. 
Therefore, Q is false.

Analyzing an argument and inferring that, since it contains a fallacy, its conclusion must be false.
""Our opponents have falsely argued that abortion should be legal because it reduces crime rates. Now that this claim has been proven false, we can conclude that abortion should be made illegal.""",http://en.wikipedia.org/wiki/argument_from_fallacy
Affirming a Disjunct Fallacy,"A or B. 
A. 
Therefore not B.

The fallacy lies in concluding that one disjunct must be false because the other disjunct is true; in fact they may both be true. This results from ""or"" being defined inclusively rather than exclusively.

""American politicians either believe in democracy or in capitalism. Since that politician believes in democracy, he must not believe in capitalism.""",http://en.wikipedia.org/wiki/affirming_a_disjunct
Affirming the Consequent Fallacy,"If P, then Q. 
Q. 
Therefore P.

Assuming that if P implies Q then Q implies P

""If I have the flu, then I have a sore throat. I have a sore throat. Therefore, I have the flu.""",http://en.wikipedia.org/wiki/affirming_the_consequent
Denying the Antecedent Fallacy,"If P, then Q. 
Not P. 
Therefore, not Q.

Assuming that if P implies Q, then not P implies not Q.

If Queen Elizabeth is an American citizen, then she is a human being.
Queen Elizabeth is not an American citizen.
Therefore, Queen Elizabeth is not a human being.",http://en.wikipedia.org/wiki/denying_the_antecedent
Affirmative Conclusion from a Negative Premise Fallacy,"A is not a subset of B. 
B is not a subset of C. 
Therefore A is a subset of C.

""We don't read that trash. 
People who read that trash don't appreciate real literature. 
Therefore, we appreciate real literature.""",http://en.wikipedia.org/wiki/affirmative_conclusion_from_a_negative_premise
Illicit Major Fallacy,"All A are B. 
No C are A. 
Therefore, no C are B.

""Christians are good, and atheists are not Christians. Therefore atheists are not good.""",http://en.wikipedia.org/wiki/illicit_major
Illicit Minor Fallacy,"All A are B. 
All A are C. 
Therefore, all B are C.

""All men are lovers, and all men are haters. So all haters are also lovers.""",http://en.wikipedia.org/wiki/illicit_minor
Fallacy of the Undistributed Middle,"All Zs are Bs. 
Y is a B. 
So Y is a Z.

""All students carry backpacks, and my grandfather carries a backpack, so my grandfather is a student.""",http://en.wikipedia.org/wiki/fallacy_of_the_undistributed_middle
Argument from Ignorance Fallacy,"Asserts that a proposition is necessarily true because it has not been proven false (or vice versa).

""We know that quantum mechanics is a true theory because every attempt to test it has failed to find evidence against the theory.""",http://en.wikipedia.org/wiki/argument_from_ignorance
Appeal to Incredulity Fallacy,"Because a claim sounds unbelievable, it must not be true.

The eye is an incredibly complex biomechanical machine with thousands of interlocking parts. How could that exist without an intelligent designer?",rhetological fallacies spreadsheet
Appeal to Money Fallacy,"Supposing that, if someone is rich or something is expensive, then it affects the truth of the claim.

""If it costs more, it must be better""
",rhetological fallacies spreadsheet
Appeal to Spite Fallacy,"Dismissing a claim by appealing to personal bias against the claimant.

Don't you just hate how those rich Liberal Hollywood actors go on TV to promote their agendas?",rhetological fallacies spreadsheet
Appeal to Tradition Fallacy,"Claiming something is true because it's (apparently) always been that way.

Marriage is the union between man and women. Therefore gay marriage is wrong.",rhetological fallacies spreadsheet
Appeal to Wishful Thinking,"Suggesting a claim is true or false just because you strongly hope it is.

""The President wouldn't lie. He's our leader and a good American""",rhetological fallacies spreadsheet
Begging the Question Fallacy,"The proposition to be proven is assumed implicitly or explicitly in the premise. Or the premise is actually stronger and more controversial than the claim itself that is being debated.

""Killing innocent people is always wrong. The death penalty will inevitably lead to innocent people dying, so the death penalty is wrong.""",http://en.wikipedia.org/wiki/begging_the_question
Biased generalizing,"Generalizing from an unrepresentative sample to increase the strength of your argument

""Our website poll found that 90% of internet users oppose online piracy laws.""",rhetological fallacies spreadsheet
Burden of Proof Fallacy," I don't need to prove my claim is true - you must prove it is false.

""I maintain long-term solar cycles are the cause of global warming. Show me I'm wrong""",rhetological fallacies spreadsheet
Correlation Implies Causation Fallacy,Assumes that correlation between two variables automatically implies that one causes the other.,http://en.wikipedia.org/wiki/correlation_does_not_imply_causation
Circumstantial Ad Hominem,"Stating a claim isn't credible only because of the advocate's interest in their claim.

""A study into the health risks of mobile phone involved mobile phone companies. Therefore, the study cannot be trusted.""",rhetological fallacies spreadsheet
Division fallacy,"Assuming that characteristics or beliefs of a group automatically apply to any individual member. Similar to ecological fallacy.

""Many Conservatives wish to ban gay marriage, discredit climate change, and deny evolution. Therefore all conservatives are homophobic, anti-enviroment creationists.""",rhetological fallacies spreadsheet
Ecological Fallacy,"Inferences about the nature of specific individuals are based solely upon aggregate statistics collected for the group to which those individuals belong. This fallacy assumes that individual members of a group have the average characteristics of the group at large.

""Of course you can kick her ass. She is a woman.""",http://en.wikipedia.org/wiki/ecological_fallacy
Etymological Fallacy,"The Etymological Fallacy is a genetic fallacy that holds, erroneously, that the historical meaning of a word or phrase is necessarily similar to (or can be used to clarify) its actual present-day meaning.

""Knave is really not such an insult, since originally it just meant 'boy'.""",http://en.wikipedia.org/wiki/etymological_fallacy
Fallacy of Composition,"Inferring that something is true of the whole from the fact that it is true of some part of the whole (or even of every proper part)

""Most individual Americans would be better off if they saved a lot more money. Therefore, if everyone saved a lot more money, we would all be better off.""",http://en.wikipedia.org/wiki/fallacy_of_composition
Fallacy of False Dilemma,"Involves a situation in which only two alternatives are considered, when in fact there are additional options.

""Either you are with us, or you are with the terrorists.""
""You are either a nice guy, or a not nice guy. Which is it?""",http://en.wikipedia.org/wiki/false_dilemma
If-by-whiskey Fallacy,"The response to a question or definitions used is contingent on the questioner's opinions and the use of words with strong positive or negative connotations.

""If when you say whiskey you mean the devil's brew, the poison scourge, the bloody monster that defiles innocence...then certainly I am against it. But, if when you say whiskey you mean the oil of conversation, the philosophic wine, the ale that is consumed when good fellows get together...then certainly I am for it.""",http://en.wikipedia.org/wiki/if-by-whiskey
Loaded Question Fallacy,"A question which contains a controversial assumption such as a presumption of guilt.

""We have heard that a half million children have died due to U.S. sanctions against Iraq. Is the price worth it?""",http://en.wikipedia.org/wiki/loaded_question
Ludic Fallacy,"Assuming that your model for something captures all aspects, and all risks associated with it, that is, that there are no unknown unknowns.",http://en.wikipedia.org/wiki/ludic_fallacy
Fallacy of the Single Cause,"Occurs when it is assumed that there is a single, simple cause of an outcome, when in reality it may have been caused by a number of only jointly sufficient causes.

""Was this school shooting caused by violence in video games, or by poor parenting?""",http://en.wikipedia.org/wiki/fallacy_of_the_single_cause
Historian's Fallacy,"Occurs when one assumes that decision makers of the past viewed events from the same perspective, and had the same information as those subsequently analyzing the decision, or knew the significance of what they were doing.",http://en.wikipedia.org/wiki/historian%27s_fallacy
Incomplete Comparison Fallacy,"A claim is made that does not contain complete information, and so cannot be refuted.

""Our product is longer lasting!""",http://en.wikipedia.org/wiki/incomplete_comparison
Inconsistent Comparison Fallacy,"Various items are compared along differing dimensions in such a way that it gives the impression that one item is superior.
 
""Product X is less expensive than product A, has better quality than product B, and has more features than product C.""

All this really means though is that ""product X is not the most expensive, lowest quality, and fewest feature bearing product on the market.""",http://en.wikipedia.org/wiki/inconsistent_comparison
Irrelevant Conclusion Fallacy,"Presenting an argument that may in itself be valid, but does not address the issue in question.

""Vanilla is the best ice cream."" 
""No, chocolate is."" 
""Well, I need more than chocolate. I believe that we need freedom, and choice when it comes to our ice-cream. That is the definition of liberty.""",http://en.wikipedia.org/wiki/ignoratio_elenchi
Moving the Goalposts Fallacy,"Evidence presented in response to a specific claim is dismissed and some other (often greater) evidence is demanded. In other words, after an attempt has been made to score a goal, the goalposts are moved to exclude the attempt.

""You may have shown that some of the predictions of evolutionary theory have come true, but unless you can show conclusively that all of them have come true, that means nothing.""",http://en.wikipedia.org/wiki/moving_the_goalposts
Nirvana Fallacy,"Comparing actual things with unrealistic, idealized alternatives. It can also refer to the tendency to assume that there is a perfect solution to a particular problem.

""These new school proposals are unacceptable, because some students will still not be getting sufficient attention from teachers.""",http://en.wikipedia.org/wiki/nirvana_fallacy
"""After This, Therefore Because of This"" Fallacy","Assumes that because one thing came after another, the first must have caused the second.

""My child became autistic right after she got her vaccine, so the vaccine must have caused it.""",http://en.wikipedia.org/wiki/post_hoc_ergo_propter_hoc
Perfectionist Fallacy,"Assuming that the only option on the table is perfect success, then rejecting anything that will not work perfectly.

""What's the point of these anti-drunk driving ad campaigns? People are still going to drink and drive no matter what.""",rhetological fallacies spreadsheet
Prosecutor's Fallacy,"Fallacy of statistical reasoning made in law where the context in which the accused has been brought to court is falsely assumed to be irrelevant to judging how confident a jury can be in evidence against them. For example, if the defendant was selected from a large group because of the evidence under consideration, then this fact should be included in weighing how incriminating that evidence is.

""The probability of finding this evidence if the accused were innocent is tiny, so the accused must be guilty.""",http://en.wikipedia.org/wiki/prosecutor%27s_fallacy
Red Herring fallacy,"Introducing irrelevant material to the argument to distract and lead towards a different conclusion. 

""Why should the senator account for irregularities in his expenses? After all, there are senators who have done far worse things.""",rhetological fallacies spreadsheet
Retrospective Determinism Fallacy,"Assuming that because something happened, it was therefore bound to happen.

""The kings assassination proves that, sooner or later, he was bound to be killed by his enemies.""",http://en.wikipedia.org/wiki/retrospective_determinism
Slippery Slope Argument,"Assuming a relatively small first step will inevitably lead to a chain of related (negative) events .

""If we legalize marijuana, more people will start using crack and heroin. Then we'd have to legalize those too.""",rhetological fallacies spreadsheet
No True Scotsman Fallacy,"When faced with a counterexample to a universal claim, rather than denying the counterexample or rejecting the original universal claim, this fallacy modifies the subject of the assertion or their definition to exclude the specific case or others like it.

""No Scotsman would do such a thing."" ""But a Scotsman just did!"" ""No TRUE Scotsman would do such a thing.""",http://en.wikipedia.org/wiki/no_true_scotsman
Cherry Picking Fallacy,"The act of pointing to individual cases or data that seem to confirm a particular position, while ignoring a significant portion of related cases or data that may contradict that position.

""Most college students don't have jobs during college."" ""Oh yeah? Well, almost every one of my best friends in college had a job.""",http://en.wikipedia.org/wiki/cherry_picking_(fallacy)
False Analogy Fallacy,"A and B are similar in some ways. A has property X, therefore B has property X.

""Men and tigers both are angered by efforts to threaten their status. But we can learn from dealing with tigers how to deal with men, because tigers do not grow angry when female tigers threaten their status.""",http://en.wikipedia.org/wiki/false_analogy
Misleading Vividness Fallacy,"Assuming that because an example is more vividly described, it is more likely to be representative or worth taking into account or lead to a true conclusion.

""I wouldn't take up golf if I were you. Do you remember Charles? He was playing golf when he got hit by a golf cart. It broke his leg, and he fell over, giving himself a concussion. He was in hospital for a week and still walks with a limp.""",http://en.wikipedia.org/wiki/misleading_vividness
Spotlight Fallacy,"Assumes that most members or cases of a certain class or type are like those that receive the most attention or coverage in the media.

""Most therapists just sit there and listen to you, or insist on asking you questions about your feelings about your parents.""",http://en.wikipedia.org/wiki/spotlight_fallacy
Thought Terminating Cliché,"A saying that is used to get you or others to stop thinking something through.

""We each make sacrifices for the greater good.""

""Dear leader knows best.""",http://en.wikipedia.org/wiki/thought-terminating_clich=e9#thought-terminating_clich.c3.a9
Ad Hominem Fallacy,"Attacking the arguer instead of the argument in order to draw the conclusion that the argument is false.

""He was a Nazi! We can't trust his research on the gallbladder.""",http://en.wikipedia.org/wiki/ad_hominem
Appeal to the People Fallacy,"Assuming that because something is widely believed, it is likely to be true.

""Everyone knows that bats are blind.""",http://en.wikipedia.org/wiki/argumentum_ad_populum
Appeal to Authority Fallacy,"Arguing that a statement is correct because the statement is made by a person or source that is commonly regarded as authoritative.

Source A says that P is true. 
Source A is authoritative. 
Therefore, P is true.

""As Samuel Johnson said, patriotism is the last refuge of the scoundrel.""",http://en.wikipedia.org/wiki/appeal_to_authority
Appeal to common practice fallacy,"Claiming something is true because it's commonly practiced.

""This bank has some problems with corruption. But there's nothing going on here that doesn't go on in all the other banks.""",rhetological fallacies spreadsheet
Appeal to Consequences Fallacy,"An argument that concludes a premise (typically a belief) to be either true or false based on whether the premise leads to desirable or undesirable consequences.

""You're theory cannot possibly be true, as if it were, our lives would be meaningless.""",http://en.wikipedia.org/wiki/appeal_to_consequences
Appeal to Fear Fallacy,"Arguing that one of two things has to be true, but because one of them is frightening, this makes the person want to believe the other.

Either P or Q is true. 
Q is frightening. 
Therefore, P is true.
 
""You have to study harder, because if you cannot graduate from high school, you will live in poverty for the rest of your life.""",http://en.wikipedia.org/wiki/appeal_to_fear
Appeal to Flattery Fallacy,"Using an irrelevant compliment to slip in an unfounded claim which is accepted along with the compliment.

""Intelligent and sophisticated readers will of course recognize a fallacy like this when they read one.""",rhetological fallacies spreadsheet
