Name,Should use?,Has received final editing pass?,Description,Experimental evidence,"If we just wanted to give an overview of the historical origins of experiment demonstrations of this error, then it seems fine to just reword this. But if we wanted to give more recent evidence, we'd need to look for further info elsewhere. Currently, the cell's content is taken from https://psynso.com/forgetting/",Examples,Manual keywords,Ten Conditions for Change (primary),Ten Conditions for Change (secondary),Benevolent helper,Tags,Source URLs,Source descriptions,Source notes,Other notes,Anthony's Notes,Ideas for Testing,Even more notes,Type of Rational Thinking Error(s) (Stanovich),Class of Rational Thinking Error(s) (Stanovich)
Change Bias in Memory,,yes,Change Bias in Memory refers to a phenomenon wherein someone who engaged in effortful behavior change later overestimates how challenging their past performance or behavior was. See also: Choice-Supportive Bias.,,,,"change, remember, memory",10. Maintains,,"To overcome this phenomenon, encourage people to keep a diary documenting their efforts over time so that they can return to previous entries to remind themselves of how effortful their past performance actually was.",memory bias,https://psycnet.apa.org/doiLanding?doi=10.1037%2F0003-066X.54.3.182,"Psychology and Cognitive Neuroscience"". American Psychologist 54 (3): 182-203. doi:10.1037/0003-066X.54.3.182. PMID 10199218",,,,,,,
Cherry-picking Fallacy,,yes,"The Cherry-picking Fallacy refers to the use of only a selected subset of available cases, data, or other information when forming or supporting a particular conclusion (while ignoring the rest). ",,,"For example, in convincing oneself that there is no need to stop smoking, one might seek out elderly friends and acquaintances who smoke, who are happy to be smoking and don't believe that their health has suffered due to it, and who have lived to at least 70 years of age. By talking only to those people about smoking, one might get an inaccurate impression that there are no dangers associated with the practice. ","select, pick, choose, narrow, ignore",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome this fallacy, offer more representative sources of information. Over the longer-term, it might help to encourage people to develop skills in evaluating different levels of empirical evidence for updating their beliefs.",rhetorical fallacy,http://en.wikipedia.org/wiki/cherry_picking_(fallacy),,,,,,,,
Childhood Amnesia in Memory,no,,Childhood Amnesia in Memory refers to an individual's relative lack of memories from before the age of four. ,"[From the old description column: This is a scarcity that cannot be accounted for by a forgetting curve. Additionally, the boundary is malleable and can be influenced by both individual experiences and cultural factors.

It has been suggested that the average age of the first memories is three years, six months, with the vast majority of subjects dating their first recollection somewhere between ages two and five years. Very few memories of adults precede 30 months, and those that are reported at this time show considerable confabulation with individuals unable to tell the difference between a memory of an event and simple knowledge of the event (i.e. gained from discussion by others).]",,,"amnesia, forget, memory, remember",2. Desires,"3. Intends, 5. Believes, 6. Chooses","To overcome negative impacts of this phenomenon, it may help to understand and accept it when it is noticed. This phenomenon does not seem to be particularly likely to affect behavior change efforts in substantial ways. Still, it is theoretically possible that it might in certain situations. For example, someone might have a particular belief about their early childhood or might be distressed about not remembering their early childhood. In such cases, it might help if the person realizes that they may have an inaccurate belief (e.g., about them being unusual for not having memories at a young age).",memory bias,http://en.wikipedia.org/wiki/Childhood_amnesia,,,,,,,,
Choice-Supportive Bias,,yes,Choice-Supportive Bias refers to a cognitive bias whereby someone who has made a choice between different options later remembers the option that they chose as having more positive attributes than it did at the time (while they remember options they did not choose as having more negative attributes than they'd had at the time). ,"Research indicates that the process of making and remembering choices yields memories that tend to be distorted in predictable ways. For example, one predictable way that memories of choices are distorted is that positive aspects tend to be remembered as part of the chosen option, regardless of whether they originally part of that option, and negative aspects tend to be remembered as part of rejected options. This may affect a person's regret or approval of past decisions, and may also influence future decision-making.","This would need rewording. Depending on the level of depth we want to go into when explaining the evidence supporting the existence of particular biases, I would feel the need to go and find the actual studies before describing and citing them. :S Currently, though, this comes from https://scienceswitch.com/choice-supportive-bias/","For example, someone who chose to undertake an expensive and time-consuming course in order to gain a particular skill may retrospectively remember many positive aspects of the course they chose (even if these did not enter into their decision at the time), and may remember the alternative options as being worse than they were (e.g., they may overestimate how unpleasant or difficult it would have been to learn the skill another way, to gain more work experience while still learning the skill, and so on).","choice, support, remember",10. Maintains,,"To overcome this bias, one could help people to notice the ways in which they seek to justify their old behavior. People may often overweight the benefits of the old behavior as a way of justifying that behavior, so helping them to notice that they're doing this may help them to be more mindful about giving up the old behavior and adopting the new behavior.",cognitive bias,http://en.wikipedia.org/wiki/Choice-supportive_bias,,,,"""people who say ""I have no regrets"" about my life... why are regrets taboo? can you make mistakes but not regret them?",,,,
Chronological Snobbery Fallacy,,yes,"The Chronological Snobbery Fallacy is a bias against arguments, thought, or work from historically earlier time periods because they are perceived as having arisen at a ""less advanced"" time period than the present. ",,,"For example, it has been believed that getting enough sleep is beneficial for health for many years; for example, Aristotle reportedly believed that sleep [was important](https://www.weforum.org/agenda/2014/11/a-brief-history-of-sleep/) at a time when lots of inaccurate things were also believed. But this does not make the belief that sleep is important for health an invalid one (indeed, there are many longitudinal studies demonstrating measurable health benefits associated with adequate [but not excessive] levels of sleep). ","time, history, snob, arrogance, naive",2. Desires,"3. Intends, 5. Believes, 6. Chooses.","To overcome this fallacy, provide counterexamples to show that some old ideas have been validated in modern times or even that some new ideas have been invalidated in favor of old ones. Even in cases where the conclusions of earlier thinkers were wrong, show that those thinkers reasoned as well as could possibly be expected given the knowledge and observational instruments of their time.",rhetorical fallacy,http://en.wikipedia.org/wiki/chronological_snobbery,,,,,,,,
Circumstantial Ad Hominem,,yes,Circumstantial Ad Hominem is an attempt to discredit a claim or argument by pointing out that the advocate's circumstances predispose them to have an interest in their claim.,,,"For example, one friend may try to convince another friend to stop their unhealthy habit of smoking when they drink. The friend may respond, ""Of course you want me to stop smoking---you just want me to stop leaving you in the club whenever I go outside to smoke.""","circumstance, context, situation, predisposition, interest, person, personality, character, traits",2. Desires,"3. Intends, 5. Believes, 6. Chooses.",(See: Appeal to Motive Fallacy),rhetorical fallacy,,,rhetological fallacies spreadsheet,,,,,,
Clustering Illusion,,yes,The Clustering Illusion refers to a tendency to see patterns or clusters in samples drawn from random distributions.,"Thomas Gilovich found that most people saw non-random sequences in the string of random data: OXXXOXXXOXXOOOXOOXXOO.
","Doesn't look like it was copy-pasted. Yay! The wording seems like it doesn't need to be changed. But I wonder if we need to go and find the study and link to it every time we cite a study? (If so, would need to find & add link.)","For example, a person might think they notice that they tend to win more at a casino when wearing a certain tie, so they choose to wear a tie the next time they go to the casino, and they end up losing a lot of money. ","cluster, pattern, random, sample",5. Believes,"2. Desires, 3. Intends, 6. Chooses, 10. Maintains","To overcome this illusion, it might help to show examples of people inaccurately finding patterns where they don't exist. It may also help to remember that pattern identification is nothing more than an intuition unless a clear causal link can be established (or the pattern is unlikely enough to be due to chance that the possibility it is due to random variation can be ruled out).",cognitive bias,http://en.wikipedia.org/wiki/Clustering_illusion,,,"Q - pattern identification either with numbers or shapes where ""no pattern"" is an option",,,,,
Confirmation Bias,,yes,Confirmation Bias refers to a tendency for people to favor information that confirms their preconceptions or hypotheses (even if the information isn't true).,"Experiments have repeatedly found that people tend to test hypotheses in a one-sided way: by searching for evidence consistent with the hypothesis they have formed at a given time. Confirmation biases are not limited to the collection of evidence. Although two individuals may have the same information, the way they interpret it can be biased. Even if someone has sought and interpreted evidence in a neutral manner, he or she may still remember it selectively to reinforce his/her expectations. So, the Confirmation Bias may operate at three different stages: when gathering evidence, when analyzing the evidence, or when remembering the evidence.","This would need rewording. Depending on the level of depth we want to go into when explaining the evidence supporting the existence of particular biases, I would feel the need to go and find the actual studies before describing and citing them. :S Currently, though, this comes from https://enacademic.com/dic.nsf/enwiki/37441",,"confirm, preconception, favor, prefer, reject, beliefs",5. Believes,,"To overcome this bias, one could help people to notice and adjust their expectations before asking them to adopt a new behavior that would challenge their preconceptions.",cognitive bias,http://en.wikipedia.org/wiki/Confirmation_bias,,,,,,,"Focal Bias, Alternative Thinking, Evaluation Disabling Strategies","The Cognitive Miser (Focal Bias), Mindware Gaps (Alternative Thinking), Contaminated Mindware (Disabling Strategies)"
Congruence Bias,,yes,Congruence Bias refers to a tendency for people to test a given hypothesis by trying to directly test it rather than testing alternative hypotheses. ,,,"For example, someone might believe that their current diet is the only one they could enjoy and might think that they would be incapable of abstaining from the five soft drinks they have every day. They might directly test and confirm the relationship between their happiness and their diet by repeatedly noticing how happy they feel when they have their soft drinks, but they might be overlooking the fact that they haven't ever tested a key alternative hypothesis: namely, that it might be possible to enjoy other, more nutritious diets.","congruence, direct, test, alternative hypothesis",5. Believes,,"To overcome this bias, one could help people to notice that performing the old behavior without ever having tried alternatives is an invalid way of proving that the old behavior is superior to alternatives.",cognitive bias,http://en.wikipedia.org/wiki/Congruence_bias,,,,,,,,
Conjunction Fallacy,,yes,"The Conjunction Fallacy is a logical reasoning fallacy wherein someone assigns a lower probability to an event occurring in general than to the event occurring in combination with another event (in ""conjunction"" with another event).","In one experiment, subjects were presented with the following scenario: Linda is 31 years old, single, outspoken, and very bright. She majored in philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations.

Which is more probable?

1. Linda is a bank teller.
2. Linda is a bank teller and is active in the feminist movement.

85% of those asked chose option 2. However, the probability of two events occurring together (in ""conjunction"") is always less than or equal to the probability of either one occurring alone. But in another study, the question was rephrased in a more concrete format, and participants were likely to get the answer right. This demonstrates that it may be a result of poor word choice, rather than bias, that causes subjects to create unrealistic associations.","If we just wanted to give an overview of the historical origins of experiment demonstrations of this error, then it seems fine to just reword this. But if we wanted to give more recent evidence, we'd need to look for further info elsewhere. Currently, the cell's content is taken from https://en.wikipedia.org/wiki/Conjunction_fallacy","For example, someone might believe that it's more likely that they'll draw *two* aces from a deck of cards than that they'll draw just a *single* ace.

One can also see this fallacy present in conspiracism (in addition to other fallacies), where proponents of a particular conspiracy believe that it's more likely that many outlandish events occurred than that a few mundane events occurred. For example, one common feature of conspiracism is the belief in a vast ""cover-up."" This requires one to believe that hundreds, thousands, or even millions of people cooperated to hide a highly significant event. While it's by no means impossible for a cover-up to have occurred, most people know enough about human nature to know that (1) humans have trouble cooperating on such a scale for an extended period of time and (2) that too many humans desire honesty and transparency for such an event to be hidden for long. Real conspiracies do exist, of course; but in general it's rational to prefer the simpler explanation over the more complex, all other things being equal. This preference is called Occam's Razor.","conjunction, and, multiply, probability, combination",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome this fallacy, one could aim for the adoption of a ""minimum viable version"" of the behavior since it is more likely that people will adopt few and small changes rather than large or many changes. People may fall prey to this fallacy and assume that it'll be easier to adopt many large behavior changes at once rather than just one small change. If they bite off more than they can chew, they'll become frustrated and lose motivation. Therefore, it's probably best to ask people to change the smallest amount possible that still results in adoption of the new, positive behavior.",cognitive bias,http://en.wikipedia.org/wiki/Conjunction_fallacy,,,Q,,,,"Default to the Autonomous Mind, Probability Knowledge","The Cognitive Miser (Default to the Autonomous Mind), Mindware Gaps (Probability Knowledge)"
Context Effect in Memory,,yes,Context-dependent memory refers to improved retrieval (or recall) of specific memories if the context present at the time of memory retrieval is the same as the context present at the time the memory was first stored (or encoded). ,"Psychologists that have researched context dependent recall include Abernathy (1940), as well as Godden & Baddeley (1975). Context-dependent cues are dependent on the environment and situation. Memory retrieval can be facilitated or triggered by replication of the context in which the memory was encoded. Such conditions include weather, company, location, smelling a particular odor, hearing a certain song, and even taste can sometimes act as a cue. For example, students sometimes fail to recall diligently studied material when an examination room's environmental conditions differ significantly from the room or place where learning occurred. To improve learning and recall, it is recommended that students should study under conditions that closely resemble an examination.","If we just wanted to give an overview of the historical origins of experiment demonstrations of this error, then it seems fine to just reword this. But if we wanted to give more recent evidence, we'd need to look for further info elsewhere. Currently, the cell's content is taken from https://psynso.com/forgetting/",,"context, situation, memory, remember, time, retrieve, specific",4. Remembers,"5. Believes, 6. Chooses, 10. Maintains","To leverage this phenomenon, it might help to provide reminders (e.g., to engage in the behavior) that are congruent with the context in which the behavior was originally learned, if possible.",memory bias,http://en.wikipedia.org/wiki/Context-dependent_memory,,,,,,,,
Contrast Effect,,yes,"The Contrast Effect refers to the way in which someone's perception of something (e.g., a particular room temperature) can be distorted (relative to objective measurement or relative to their typical experience) due to simultaneous or recent exposure to something that contrasts with it (e.g., a warmer outside temperature). ",,,"For example, if you walk into a room that has a temperature of 70° F after having been outside in sweltering summer heat, the room will feel quite cool and maybe even chilly to you. But if you enter the same room after having been outside in a blizzard, the room will feel warm and cozy. In both cases, the objective temperature of the room is same; only your perception differs because of the room's contrast to your situation immediately prior to entering the room.","contrast, perception, distortion, simultaneous, recent, exposure",2. Desires,"2. Desires, 5. Believes, 6. Chooses","To overcome this effect, invite users to adjust to the new behavior by introducing gradual changes (so that the new behavior doesn't seem like such a dramatic departure from their baseline).",cognitive bias,http://en.wikipedia.org/wiki/Contrast_effect,,,The Contrast Effect pushes in the opposite direction as the Anchoring Bias.,,,,,
Correlation Implies Causation Fallacy,,yes,The Correlation Implies Causation Fallacy is the assumption that correlation between two variables automatically implies that one causes the other.,,,"For example, ""Our research has shown that there's a strong correlation between recreational drug use and mental health issues. Therefore, using recreational drugs causes mental health problems."" (This is a fallacious conclusion because causation might run the other way around: it might be the case that having mental health issues causes a person to use recreational drugs more. Or it could be the case that both variables are caused by a third (unknown) variable.)","correlation, causation, cause",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome this fallacy, a necessary (but perhaps not sufficient) step would be to explain the distinct concepts of correlation and causation and the differences between them. Show examples where the causal arrow was later shown to be the reverse of its initial assignment, or where two correlated variables were shown to be caused by a third variable.",logical fallacy,http://en.wikipedia.org/wiki/correlation_does_not_imply_causation,,,,,,,,
Denomination Effect,,yes,The Denomination Effect is a theoretical cognitive bias wherein people tend to be more likely to spend a given amount of money if it is composed of smaller individual sums than if it is composed of larger individual sums.,,,"For example, if someone passes a bakery, they might be more likely to buy 5 items that cost $1 each than 1 item that costs $5.","denomination, amount, size, money",2. Desires,,"To leverage this effect, it might help to ask people to donate to a cause in small bills, or to invite charitable donations in locations where people are likely to have loose change.",cognitive bias,http://en.wikipedia.org/wiki/Denomination_effect,,,,,,,,
Denying the Antecedent Fallacy,,yes,"Denying the Antecedent Fallacy is a logical fallacy about the relationships between categories or assertions. It takes the form: ""If P, then Q. Not P. Therefore, not Q."" The fallacy is the assumption that the conclusion follows from the premises, although it actually doesn't follow (e.g., because there can be cases of Q that are not preceded by P). The fact that Q always follows *if* P is true does not imply that Q must always be preceded by P.",,,"For example, ""If you go to the gym, you'll get fit. You don't go to the gym, so you can't possibly get fit!""","deny, antecedent, after, premise",3. Intends,"2. Desires, 5. Believes, 6. Chooses, 10. Maintains","To overcome this fallacy, it might help to point this out and to show why this is a fallacy. By pointing out the flaw in this reasoning, it may be possible to open up a more comprehensive range of possible plans that the person could form (e.g., to meet their behavioral goals). Also, provide counterexamples to show that (to use the example from above) it's possible to get fit *without* going to the gym.",logical fallacy,http://en.wikipedia.org/wiki/denying_the_antecedent,,,,,,,,
Disjunction Fallacy,,yes,The Disjunction Fallacy refers to an error in probabilistic reasoning whereby people estimate that the probability of an event happening exceeds the probability of *either* that event *or* another event happening. The probability that *either* event (A or B) occurs will always be larger than the individual probabilities of A occurring or of B occurring.,"Further evidence that the Representativeness Heuristic may be causal to the Disjunction Fallacy comes from Bar-Hillel and Neter (1986). They found that people judge a person who is highly representative of being a statistics major (e.g., highly intelligent, does math competitions) as being more likely to be a statistics major than a social sciences major (superset of statistics), but they do not think that he is more likely to be a Hebrew language major than a humanities major (superset of Hebrew language). Thus, only when the person seems highly representative of a category is that category judged as more probable than its superordinate category. For example, the probability of being either a physics or a biology major is at least as likely as being a physics major, if not more likely. However, when a personality description (data) seems to be very representative of a physics major (e.g., pocket protector) over a biology major, people judge that it is more likely for this person to be a physics major than a natural sciences major (which is a superset of physics). These incorrect appraisals remained even in the face of losing real money in bets on probabilities. ","If we just wanted to give an overview of the historical origins of experiment demonstrations of this error, then it seems fine to just reword this. But if we wanted to give more recent evidence, we'd need to look for further info elsewhere. Currently, the cell's content is taken from https://psynso.com/representativeness-heuristic/",,"disjunct, disjunction, or, either, probability",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome this fallacy, it might help to point it out, to provide counterexamples, or to explain the math underpinning it.",logical fallacy / cognitive bias,http://en.wikipedia.org/wiki/representativeness_heuristic,,,,,,,,
Disregard of Regression Toward the Mean,,yes,"Disregard of Regression Toward the Mean refers to any case of reasoning that fails to take into account the tendency for random events to exhibit regression toward the mean. ""Regression toward the mean"" refers to the observation that when sampling a random variable, an extreme (or very unlikely) outcome will, on average, be followed by less extreme outcomes. (Note that the Gambler's Fallacy does *not* represent a rational solution to this problem because Gambler's Fallacy involves the inaccurate belief that a future event ""compensates"" for a past event, and that is not what is happening in regression toward the mean.)",,,"For example, someone may say, ""When his pain got worse, he went to a doctor, after which the pain subsided somewhat. Therefore, he benefited from the doctor's treatment."" This person seems to to be assuming that the pain would have continued without the doctor's treatment. In many cases, though, patients tend to visit a doctor at the worst point of their illness, after which time they would get better anyway, even without a doctor's intervention.","disregard, regression, average, statistics, probability",10. Maintains,"2. Desires, 3. Intends, 5. Believes, 6. Chooses","To overcome or avoid this phenomenon, it might help to point this out when it occurs and to show it is a fallacy. Provide statistics showing that a person's particular experiences are rare and thus likely to be followed by more common experiences.",cognitive bias,http://en.wikipedia.org/wiki/Regression_toward_the_mean,,,,,"Bob, John, and Phil play 24 games of Monopoly against one another. Bob wins 14 of these games, while Jon wins 6 and Phil wins 4. If they play another 24 games of Monopoly against one another, which of the three of them is the most likely to win fewer games than they won over the course of the previous 24 games? A. Bob B. John C. Phil D. They are all equally likely E. There is not enough information to make a prediction.","Bob, John, Phil, Tim, and Dave play 40 games of Monopoly against one another. Bob wins 16 of these games, while John wins 9, Phil wins 7, and Tim and Dave each win 4. If they play another 40 games of Monopoly against one another, who is more likely to win fewer games than they won over the course of the previous 40, Bob or Phil?",,
Distinction Bias,,yes,Distinction Bias refers to a tendency to view two options as more dissimilar to each other when they are simultaneously evaluated than when they are separately evaluated.,"Research shows that options presented simultaneously are evaluated differently than the same options presented separately. For example, when televisions are displayed next to each other on the sales floor, the difference in quality between two very similar, high-quality televisions may appear great. A consumer may pay a much higher price for the higher-quality television, even though the difference in quality is imperceptible when the televisions are viewed in isolation.","This would need rewording. Depending on the level of depth we want to go into when explaining the evidence supporting the existence of particular biases, I would feel the need to go and find the actual studies before describing and citing them. :S Currently, though, this comes from http://nlpnotes.com/distinction-bias/","For example, someone may agonize over a decision between two very similar gyms (that have minor differences in price, equipment, bathroom facilities, opening hours, and levels of convenience). Even if the differences have little practical relevance, the differences between the two options may appear more pronounced while the person is evaluating them together than if the person were to evaluate the desirability of the two options separately.","distinction, similar, simultaneous, separate, options",6. Chooses,,"To leverage this bias, one could bring the old behavior and the new behavior into contrast, exploring the pros and cons of each. Otherwise, people may not think of the behaviors as competing with each other (and thus may not compare them to each other), or they may think that the behaviors are similar enough that choosing one over the other doesn't matter very much.

To overcome this bias, remind people that merely beginning a new, positive behavior may be more important than perfecting the actual implementation details. For example, going to the gym at all is much more important than choosing the right gym with 100% certainty, so flipping a coin to make the decision might enable the person to make a quick choice and begin their new exercise routine without getting hung up on comparing gyms.",cognitive bias,http://en.wikipedia.org/wiki/Distinction_bias,,,,,,,,
Division Fallacy,,yes,"The Division Fallacy is a logical reasoning fallacy wherein statements about a category (e.g., the characteristics of a group of people) are assumed to apply to some or all parts of that category (e.g., to individual people in the group). The assumption can be fallacious either (1) because individuals in a group exhibit variations of traits or behaviors around an average, or (2) because the group exhibits an emergent property that is otherwise exhibited by none of the members individually. See also: Ecological Fallacy.",,,"For example: ""Democrats want higher taxes on the wealthy. John is a Democrat. Therefore, John wants higher taxes on the wealthy."" (Perhaps John differs from his fellow Democrats on that particular issue even if Democrats as a group want higher taxes on the wealthy.)

Another example: ""Consciousness is something brains do. Brains are made of cells. Therefore, each brain cell must be conscious."" (Perhaps consciousness is an emergent property that results from the behavior of a population of brain cells that are each *not* conscious.)","division, category, all, some, apply",2. Desires,,"To overcome this fallacy, it may help to point out when it occurs. One could also share counterexamples.",logical fallacy,,,rhetological fallacies spreadsheet,,,,,,
Dunning–Kruger Effect,,yes,"The Dunning-Kruger Effect refers to a phenomenon in which people who are less adept at a particular skill appear to overestimate their abilities (suffering from illusory superiority), while those who are more highly skilled appear to underestimate their abilities (suffering from illusory inferiority). ","Dunning and Kruger concluded, ""across four studies, the authors found that participants scoring in the bottom quartile on tests of humor, grammar, and logic grossly overestimated their test performance and ability. Although test scores put them in the 12th percentile, they estimated themselves to be in the 62nd."" Meanwhile, people with true ability tended to underestimate their relative competence. Roughly, participants who found tasks to be relatively easy erroneously assumed, to some extent, that the tasks must also be easy for others.

Studies on the Dunning–Kruger Effect tend to focus on American test subjects. Similar studies on European subjects show marked muting of the effect; studies on some East Asian subjects suggest that something like the opposite of the Dunning–Kruger effect operates on self-assessment and motivation to improve. As Kruger and Dunning noted, ""the miscalibration of the incompetent stems from an error about the self, whereas the miscalibration of the highly competent stems from an error about others.""","If we just wanted to give an overview of the historical origins of experiment demonstrations of this error, then it seems fine to just reword this. But if we wanted to give more recent evidence, we'd need to look for further info elsewhere. Currently, the cell's content is taken from https://psychology.wikia.org/wiki/Dunning%E2%80%93Kruger_effect","For example, ""That NFL coach is an idiot! I only played football for two years in high school, but I'd do a *way* better job than him at coaching that team!""","skill, estimate, overestimate, underestimate, superior, inferior, competent, incompetent",7. Knows,"2. Desires, 3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome this fallacy, it might help to point out that, in general, people with less knowledge of an area are less equipped to assess their own skill level in that area and less equipped to understand the relative difficulty of that behavior. Also, giving people an objective test of skill or knowledge in the relevant area may show them where they lie relative to others and thus help to calibrate their judgment about their own abilities.",cognitive bias,http://en.wikipedia.org/wiki/Dunning%E2%80%93Kruger_effect,,,,,,,,
Ecological Fallacy,,yes,"The Ecological Fallacy refers to the fallacious assumption that individual members of a group possess the average characteristics of the group at large. This fallacy is one type of Division Fallacy that occurs specifically in statistics, where one infers from statistical data that an individual shares the group's average traits.",,,"For example, a prospective employer might learn that a job candidate graduated from a high school whose students are known to have low average performance on national tests. They might then assume that the job candidate would have performed poorly on national tests simply because they come from that high school.","individuals, group, average, characteristics, traits",2. Desires,,(See: Division Fallacy),logical fallacy,http://en.wikipedia.org/wiki/ecological_fallacy,,,,,,,,
Egocentric Bias,,yes,Egocentric Bias can refer to a tendency for someone to claim more personal responsibility for the results of a joint action than an outside observer would credit them. ,,,"For example, ""In my last four years as president, I've lowered the unemployment rate, lowered the national debt, and increased high school standardized test scores!""","responsibility, result, action, observer, unfair, credit",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome this bias, ask for an outside view and for teammates' assessments of a person's contributions.

To leverage this bias, one could highlight to someone the ways in which their behavior change efforts will contribute to a group activity or goal. If the person imagines that they have a large role to play in that group activity or goal, this would increase the perceived importance of planning and successfully engaging in the desired behavior. Similar reasoning may also motivate people to continue the positive behavior once they reach the Maintains stage.",cognitive bias,http://en.wikipedia.org/wiki/Egocentric_bias,,,,,,,,
Endowment Effect (aka Divestiture Aversion),,yes,The Endowment Effect refers to a phenomenon in which one places a higher value on objects that they own than on objects they do not.,"In one experiment, people demanded a higher price for a coffee mug that had been given to them, but put a lower price on one they did not yet own. The Endowment Effect was described as inconsistent with standard economic theory, which asserts that a person's willingness to pay for a good should be equal to their willingness to accept compensation to be deprived of the good.","This would need rewording. Depending on the level of depth we want to go into when explaining the evidence supporting the existence of particular biases, I would feel the need to go and find the actual studies before describing and citing them. :S Currently, though, this comes from https://psychology.wikia.org/wiki/Endowment_effect","For example, someone may place a relatively high value on a piece of home gym equipment that they already own and may not want to sell it (even if this will help them to buy an upgraded or better version of that piece of equipment that happens to currently be on sale).","endowment, value, higher, lower, objects, possess, own",10. Maintains,2. Desires,"To overcome this bias, one could point out this effect and encourage the person to re-evaluate the situation at hand. Ask the person to take an outside view when comparing things they own to other things.

To leverage this bias, one could encourage people to purchase or create something that represents, or is the consequence of, the commencement or continuation of the positive behavior. ",cognitive bias,http://en.wikipedia.org/wiki/Endowment_effect,,,,,,,,
Etymological Fallacy,,yes,The Etymological Fallacy refers to a fallacious assumption that the historical meaning of a word or phrase is necessarily similar to (or can be used to clarify) its present-day meaning.,,,"For example, someone may claim that the word ""knave"" is not actually an insult since originally it just meant ""boy.""","etymology, origin, history, word, phrase, similar, current, modern",2. Desires,,"To overcome this fallacy, one could point this out and encourage the person to reconsider their attitudes toward the behavior. Intervention designers might be able to reduce the impact of this fallacy in the first place by being as careful, clear, and accurate as possible with both the content and delivery of information.

To leverage this fallacy, one might encourage a positive behavior by linking it with a word that was historically associated with the behavior, that also has positive connotations. The same fallacy might also be used to discourage a negative behavior (such as by a historically negative connotation of a word that describes a negative behavior).",logical fallacy,http://en.wikipedia.org/wiki/etymological_fallacy,,,,,,,,
Fading Affect Bias in Memory,,yes,Fading Affect Bias in Memory refers to a tendency for the emotions associated with unpleasant memories to fade more quickly than the emotions associated with pleasant memories.,,,"For example, someone who quit binge drinking several months ago may forget their hangovers, vomiting episodes, and the time that they were so drunk that they locked themselves out of their apartment, but they may look back wistfully on the fun they remember having when they used to drink more than they currently do.","fade, affect, emotion, feeling, negative, positive, pleasant, unpleasant",10. Maintains,,"To overcome this bias, encourage people to keep a diary documenting their affective experiences over time. They can return to previous entries to remind themselves of how emotionally varied (as opposed to uniformly positive) their past experiences actually were. This may be particularly important to ensure the Maintains condition continues to be met (otherwise, the person may be at risk of becoming demotivated if they believe that things were better before they changed their behavior in this way).",memory bias,http://en.wikipedia.org/wiki/List_of_memory_biases,,,,,,,,
Fallacy of Composition,,yes,The Fallacy of Composition refers to the assumption that something is true of the whole simply because it is true of some part of the whole (or even of every proper part of the whole). See also: Hasty Generalization.,,,"For example, someone may claim that ""Most individual people would be better off if they saved a lot more money. Therefore, if everyone saved a lot more money, we would all be better off.""

As another example, regularly practicing mindfulness meditation has been shown in multiple studies to produce mental health benefits, but this does not imply that regular mindfulness meditation would benefit everyone. For instance, some subpopulations with mental health concerns (e.g., dissociative identity disorder) may not experience the benefits that other meditators experience. Those people may then be disappointed or actively harmed in their attempt to start and continue a meditation app aimed at the general population (unless they adapt the behavior and their way of enacting it to suit their particular needs).","composition, part, whole",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome this bias, it may help to point this out. This fallacy might be particularly relevant for people who differ significantly from the majority of people who engage in a given behavior. The same benefits and risks that apply to a large subgroup (e.g., neurotypical individuals without mental illness) may not apply to subpopulations of people who differ in meaningful ways from the majority. This might lead people in that subpopulation to form unrealistic expectations, distorted risk/benefit evaluations, unrealistic plans, and unwarranted optimism (or pessimism) regarding their ability to maintain the behavior once they have started it. For subgroups that differ in meaningful ways from the rest of the population, it may help to recognize those differences. This might help the subpopulation to more realistically plan, think about, enact, and maintain the behavior (perhaps using different strategies from the rest of the population). ",logical fallacy,http://en.wikipedia.org/wiki/fallacy_of_composition,,,,,,,,
Fallacy of False Dilemma,,yes,"The Fallacy of False Dilemma describes a situation in which only two alternatives are considered, despite the existence of additional options.",,,"For example: ""You're either with us or against us!""

As another example, someone might think that they are limited to two options when it comes to physical exercise: either be a competitive athlete or be someone who never exercises at all.","two, alternatives, options, additional",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome this fallacy, it could help to point out this fallacy and to provide ideas for alternative options beyond the two that the person is currently considering. ",rhetorical fallacy,http://en.wikipedia.org/wiki/false_dilemma,,,,,,,,
