PURPOSE OF METHOD:,METHOD NAME:,DESCRIPTION / IMPLEMENTATION STRATEGY:,TEN CONDITIONS FOR CHANGE,TEN CONDITIONS FOR CHANGE SUB-CATEGORY,Edits,Comment for Belen,Belen's comments,,SUBCATEGORY:,GROUPING:,REQUIRES:,SOURCE:,URL:,WE PREDICT EFFECTIVE,GUIDEDTRACK LINK:,RELEVANT TO LTG PROGRAM (per Doug)?,KEYWORDS,Original order (do NOT change these numbers)
ANTI-ATTRITION,"STAGGERED REWARDS
","Combat the ""trial-period"" mentality by offering bonus value or rewards that the user knows they will get if they stay on past the trial period. Continue to offer incentives for use every period thereafter.",10. Maintains,REWARDS,0. No edits needed,,,,CONTENT (PACE),,,,,,,no,"rewards, reward, incentive, bonus, rewarded, incentives, discounts, benefits, reap, loyalty",159
ANTI-ATTRITION,SHORT DURATION,"Keep each ""log-on"" session under 20 minutes, but ideally much shorter than that if possible.",6. Chooses,FRICTION REDUCING,0. No edits needed,,,,CONTENT (PACE),,,,,,,yes,"duration, friction, shorter, reduces, lasts, reducing, chooses, varies, short, longer",160
ANTI-ATTRITION,QUALIFIED ONLY,Establish a clear participant profile and exclude the person who doesn't meet the participant criteria.,,,,"if the participant criteria are people who have a specific need or desire, then this would be Desires. if the criteria would be people who have certain skills, this would be Embodies, etc. So this is really a meta strategy that could apply to any condition! You choose people purposely to target that already have the condition met! It's a pretty good idea, but doesn't fit under any conditions. So I suggest we add a sentence or two about this to the text of our framework description itself (rather than putting it under the tend conditions)",,,USERS,,,Lay advice and studies.,,,,no,,161
ANTI-ATTRITION,EMPHASIZE CONVENIENCE ,"Remind the person of the hassles associated with other options (money/travel/time wasted, etc.) and point out how much easier the proposed solution is.",6. Chooses,HIGHLIGHTING,2. Edited,,Edited - Merged with choice required,,CONTENT (DESCRIPTIONS),,,"Reips, U.-D. (2000). The Web Experiment Method. Psychological Experiments on the Internet, 89–117. doi: 10.1016/b978-012099980-4/50005-8",,,,no,"emphasize, highlight, highlighted, illustrate, illustrates, highlights, emphasized, demonstrates, demonstrate, recognizing",162
ANTI-ATTRITION,CONTEXT EMPHASIS,"When asking a person to adopt a certain behavior, provide information about the context so that they fully understand the request. For example, when asking people to reduce their meat consumption, they should be informed about the impact on the environment of meat production.",2. Desires,INTRINSIC BENEFITS,0. No edits needed,,,,CONTENT (DESCRIPTIONS)/ FRAMING,,,"Reips, U.-D. (2000). The Web Experiment Method. Psychological Experiments on the Internet, 89–117. doi: 10.1016/b978-012099980-4/50005-8",,,,no,"emphasis, intrinsic, context, importance, desires, inherent, essence, relevance, contexts, necessity",163
ANTI-ATTRITION,CHARITY OF CHOICE DONATION,Let the person know that you will donate to a non-profit they select as a reward for them doing the behavior.,2. Desires,REWARDS,0. No edits needed,,,,INCENTIVES,,,,,,,no,"rewards, reward, gift, gifts, incentive, donation, desires, prizes, bonus, rewarded",164
ANTI-ATTRITION,LOTTERY,Design a price lottery so that people only enter the lottery on days they practiced the behavior.,6. Chooses,REWARDS,0. No edits needed,,,,INCENTIVES,,,"Kimmel, S. E., Troxel, A. B., Loewenstein, G., Brensinger, C. M., Jaskowiak, J., Doshi, J. A., … Volpp, K. (2012). Randomized trial of lottery-based incentives to improve warfarin adherence. American Heart Journal, 164(2), 268–274. doi: 10.1016/j.ahj.2012.05.005",,,,no,"rewards, lotto, reward, prizes, voucher, wager, prize, bingo, bonus, ticket",165
ANTI-ATTRITION,PERSONALIZED RESPONSES,"Deliver longer, more personalized responses that take longer to be generated (in response to a person's choices or actions) as they can be preferable to real-time or immediate responses (they create a sense that deliberative thought or substantial amounts of computation are going into the feedback).",10. Maintains,COMMITMENT,0. No edits needed,,,,SUPPORT,,,"Ruwaard, J., Schrieken, B., Schrijver, M., Broeksteeg, J., Dekker, J., Vermeulen, H., & Lange, A. (2009). Standardized Web-Based Cognitive Behavioural Therapy of Mild to Moderate Depression: A Randomized Controlled Trial with a Long-Term Follow-Up. Cognitive Behaviour Therapy, 38(4), 206–221. doi: 10.1080/16506070802408086",,,,no,"commitment, customized, customizable, innovative, unique, responses, excellence, providing, comprehensive, dedicated",166
ANTI-ATTRITION,TANGIBLE REWARD,lottery or individual payments are both effective incentives,,,5. To be deleted,,Rewards help meet Chooses and Maintains -tangible rewards are strategies already on the DB for both,,INCENTIVES,,,Standardized Web-Based Cognitive behavioral Therapy of Mild to Moderate Depression: A Randomized Controlled Trial with a Long-Term Follow-Up. Ruwaard et al.,,,,no,,167
ANTI-ATTRITION,EXPERT RECOMMENDATIONS,"Emphasize that trusted authority figures recommend sticking to this program or treatment since oftentimes we look to authorities to guide us. Note that different people trust different authorities (e.g., some people trust the government, others don't trust the government).",10. Maintains,COMMITMENT,0. No edits needed,,It would be maintains if  this happens once the person has joined the program,,6 PRINCIPLES OF SOCIAL INFLUENCE,,,,,,,no,"commitment, recommendations, recommendation, commitments, expertise, pledge, determination, insistence, expert, committed",168
ANTI-ATTRITION,COMBINATION,Combine multiple effective techniques to get something even more effective.,,,," this is a meta strategy that applies to all conditions. I suggest we add one or two sentences to the text of our framework description/explanation about this (since it applies to all conditions), but NOT include it under any of the ten conditions.",,,STRATEGIES FOR EDUCATIONAL INTERVENTION PROGRAM ATTRITION,,,,,,,no,,169
ANTI-ATTRITION,LEVEL OF INVOLVEMENT,Establish what level of input the user would like to have in choosing their specific program and give them the desired level of control vs. automation.,3. Intends,PLANNING,0. No edits needed,,,,USER INPUT,,,,https://www.nice.org.uk/guidance/cg76/resources/medicines-adherence-involving-patients-in-decisions-about-prescribed-medicines-and-supporting-adherence-pdf-975631782085,,,no,"planning, plans, intends, planned, intend, preparing, wants, plan, intending, involvement",170
ANTI-ATTRITION,LAYMAN'S TERMS,Do not use jargon or technical language in teaching materials that explain how to do the behavior.,7. Knows,TRAINING,2. Edited,"It's a bit tricky, but I'd say this is a knows strategy, because you want to make sure the person has the necessary knowledge to understand what you're asking them to do within each action. If they don't understand words you're using, they won't know how to do what you're asking them to do (e.g. if you are telling them how to do an exercise but you use the term ""tricepts"" and they don't know what that means, they may not know how to do the exercise properly)",Added in teaching materials that explain how to do the behavior,,CONTENT (LANGUAGE),,,,https://www.nice.org.uk/guidance/cg76/resources/medicines-adherence-involving-patients-in-decisions-about-prescribed-medicines-and-supporting-adherence-pdf-975631782085,,,in use,"training, instruction, trained, teach, learning, instructors, skills, conditioning, knows, teaching",171
ANTI-ATTRITION,CUSTOMIZED PREVENTION,Tailor interventions to address the specific (reported) difficulties with adherence the person is experiencing.,10. Maintains,COPING AND RECOVERY,0. No edits needed,,Too generic?,,USER INPUT,,,,https://www.nice.org.uk/guidance/cg76/resources/medicines-adherence-involving-patients-in-decisions-about-prescribed-medicines-and-supporting-adherence-pdf-975631782085,,,no,"prevention, customized, specialized, customizable, dealing, optimized, integrates, optimizing, customize, integrated",172
ANTI-ATTRITION,USER FEEDBACK,"When asking for user input on challenges they are facing with carrying out the behavior, ask open-ended questions about adherence difficulties.",10. Maintains,COPING AND RECOVERY,0. No edits needed,,,,USER INPUT,,,,https://www.nice.org.uk/guidance/cg76/resources/medicines-adherence-involving-patients-in-decisions-about-prescribed-medicines-and-supporting-adherence-pdf-975631782085,,,no,"feedback, input, user, responses, maintains, response, recovery, communicating, supportive, responds",173
ANTI-ATTRITION,QUESTIONS REQUEST,"Encourage the person to ask adherence related questions, as this can help them identify reasons they might fail to stick to the habit and plan accordingly.",10. Maintains,COPING AND RECOVERY,0. No edits needed,,,,USER INPUT,,,,https://www.nice.org.uk/guidance/cg76/resources/medicines-adherence-involving-patients-in-decisions-about-prescribed-medicines-and-supporting-adherence-pdf-975631782085,,,no,"maintains, questions, cope, request, dealing, maintain, requests, recovery, concerns, maintained",174
ANTI-ATTRITION,VALUE SURVEYS,Check in with the person regularly about what they believe they are (or want to be) getting out participation.,10. Maintains,PERIODIC COMMUNICATION,0. No edits needed,,,,USER INPUT,,,,https://www.nice.org.uk/guidance/cg76/resources/medicines-adherence-involving-patients-in-decisions-about-prescribed-medicines-and-supporting-adherence-pdf-975631782085,,,no,"surveys, periodic, survey, maintains, periodically, conducts, assessment, regularly, frequent, communication",175
ANTI-ATTRITION,MISCONCEPTIONS AVOIDANCE,Establish what the person believes about the program you are presenting before starting. Clarify misconceptions as they arise.,10. Maintains,PERIODIC COMMUNICATION,0. No edits needed,,,,USER INPUT,,,,https://www.nice.org.uk/guidance/cg76/resources/medicines-adherence-involving-patients-in-decisions-about-prescribed-medicines-and-supporting-adherence-pdf-975631782085,,,no,"misconceptions, misconception, myths, misinformation, misunderstanding, misinterpretation, ambiguity, periodic, inherent, perception",176
ANTI-ATTRITION,SELF-REPORT,Ask the person to self-report any non-adherence. Do it in a way that does not infer blame. Explain why we are asking.,10. Maintains,COPING AND RECOVERY,0. No edits needed,,,,USER INPUT,,,,https://www.nice.org.uk/guidance/cg76/resources/medicines-adherence-involving-patients-in-decisions-about-prescribed-medicines-and-supporting-adherence-pdf-975631782085,,,no,"maintains, cope, recovery, dealing, suffers, maintained, maintaining, maintain, understands, experiencing",177
ANTI-ATTRITION,PAST OBSTACLES,"Ask the person to describe why they were not adherent (practical issues such as ""no time"", or intervention issues like ""uncomfortable with the exercise"").",10. Maintains,COPING AND RECOVERY,0. No edits needed,,,,USER INPUT,,,,https://www.nice.org.uk/guidance/cg76/resources/medicines-adherence-involving-patients-in-decisions-about-prescribed-medicines-and-supporting-adherence-pdf-975631782085,,,no,"obstacles, challenges, difficulties, pitfalls, problems, dealing, drawbacks, struggles, barriers, challenge",178
ANTI-ATTRITION,PERIODIC REASSURANCE,repeatedly give information about effectiveness at solving the specific problems the user cares about.,,,5. To be deleted,,There are other communication ones that include this,,CONTENT (COMMUNICATION),,,NICE guidelines about improving medical adherence.pdf,,,,no,,179
ANTI-ATTRITION,PERIODIC REFOCUS,"Review, at predetermined intervals, the person's understanding of why they are decided to adopt the desired behavior.",10. Maintains,PURPOSE,0. No edits needed,,,,CONTENT (COMMUNICATION),,,,https://www.nice.org.uk/guidance/cg76/resources/medicines-adherence-involving-patients-in-decisions-about-prescribed-medicines-and-supporting-adherence-pdf-975631782085,,,no,"periodic, purpose, maintains, periodically, objective, purposes, conducts, continual, continuous, merely",180
ANTI-ATTRITION,IMPROVEMENT PLAN,Ask the person about anything that has been holding them back from succeeding at the behavior change and have them come up with or choose specific plans for increasing adherence.,10. Maintains,COPING AND RECOVERY,0. No edits needed,,,,CONTENT (COMMUNICATION); personINPUT,,,,https://www.nice.org.uk/guidance/cg76/resources/medicines-adherence-involving-patients-in-decisions-about-prescribed-medicines-and-supporting-adherence-pdf-975631782085,,,no,"improvement, recovery, improvements, improving, maintains, maintaining, reduction, rebuilding, maintain, improved",181
ANTI-ATTRITION,BUNDLE REWARD,"Limit a participant's access to an interesting or enjoyable activity to times when they are actively performing the desired action. They will want continued access to the activity, so they will keep performing the desired action (e.g., TV watching only being allowed when you are walking on the treadmill at the gym).",6. Chooses,REWARDS,0. No edits needed,,,,CONTENT (COMMUNICATION),,,"Milkman, K., Minson, J., & Volpp, K. (2013). Holding the Hunger Games Hostage at the Gym: An Evaluation of Temptation Bundling. PsycEXTRA Dataset. doi: 10.1037/e513702014-057.1784"")",,,,no,"rewards, reward, incentive, bonus, rewarded, bundle, prizes, incentives, prize, gift",182
ANTI-ATTRITION,SENSE OF BELONGING,Send messages to the person assuring them that they belong in the behavior change program; that they are in the right place.,10. Maintains,PERIODIC COMMUNICATION,0. No edits needed,,,,CONTENT (COMMUNICATION),,,,http://www.ideas42.org/wp-content/uploads/2016/09/Nudging-For-Success-FINAL.pdf,,,no,"sense, of, belonging",183
ANTI-ATTRITION,CHOICE REQUIRED,Make users consider the additional time and effort involved in other solutions and how much easier the proposed solution is.,,,5. To be deleted,,Edited - Merged with emphasize convenience,,USER INPUT,,,http://www.bhub.org/project/choice-required-autorefill-prescriptions/,,,,no,,184
ANTI-ATTRITION,CHALLENGE NORMALIZATION,"Assure the person that challenges they face in implementing their new behavior are normal for others like them (e.g, people of the same age, circumstances).",10. Maintains,COPING AND RECOVERY,0. No edits needed,,,,,,,,,,,no,"challenge, cope, maintains, challenges, dealing, recovery, challenging, maintaining, maintain, believes",185
ANTI-ATTRITION,NOTE INTENTION,Provide reassurance that there is positive motivation behind any constructive criticism given to the person so they know it is coming from a good place and that you have their interests in mind.,10. Maintains,PERIODIC COMMUNICATION,0. No edits needed,,,,CONTENT (COMMUNICATION),,,,,,,no,"maintains, intention, periodic, maintained, periodically, intent, objective, communication, continual, intends",186
ANTI-ATTRITION,AVAILABLE RESOURCES,"Ask the person to identify resources that may help them reach and stick to their goal, describe how those resources could help them and plan how they will use them.",8. Has,PREPARATION,0. No edits needed,,,,personINPUT,,,"Chen, P., Chavez, O., Ong, D. C., & Gunderson, B. (2017). Strategic resource use for learning: A self-administered intervention that guides self-reflection on effective resource use enhances academic performance. Psychological science, 28(6), 774-785.",https://www.wiseinterventions.org/posters/reflecting-on-and-planning-to-use-learning-resources-improved-performance-in-statistics-among-undergraduate-students,,"
",yes,"preparation, prepare, preparations, preparing, resources, prepared, planning, training, resource, ready",187
ANTI-ATTRITION,RELEVANCE EXERCISE,Encourage users to reflect on the relevance of the program to their own lives and to the lives of others.,2. Desires,INTRINSIC BENEFITS,0. No edits needed,,,,LEADING QUESTIONS,,,"Canning, E. A., Harackiewicz, J. M., Priniski, S. J., Hecht, C. A., Tibbetts, Y., & Hyde, J. S. (2017). Improving performance and retention in introductory biology with a utility-value intervention.",https://www.wiseinterventions.org/posters/explaining-why-course-content-is-relevant-to-their-or-others-lives-improved-course-grades-more-likely-to-enroll-to-next-biology-course-and-to-continue-their-stem-major-among-biology-students,,,no,"relevance, intrinsic, benefits, desires, exercise, importance, inherent, essence, significance, enjoyment",188
ANTI-ATTRITION,PREEMPTIVE REASSURANCE,Ask participants to reflect on examples of friends and family members accepting and loving them unconditionally before revealing news of negative performance toward reaching their goals.,10. Maintains,EMOTIONAL STATE,0. No edits needed,,,,CONTENT (COMMUNICATION),,,"Brummelman, E., Thomaes, S., Walton, G. M., Poorthuis, A. M., Overbeek, G., de Castro, B. O., & Bushman, B. J. (2014). Unconditional regard buffers children’s negative self-feelings. Pediatrics, peds-2013.",https://www.wiseinterventions.org/posters/writing-about-receiving-unconditional-regard-from-peers-before-getting-final-grades-reduced-feelings-of-shame-among-poor-performing-students,,,no,"affirmation, comforting, assurances, comfort, emotional, explicit, unambiguous, justification, implicit, acknowledgment",189
ANTI-ATTRITION,OTHERS LIKE YOU,"When sending notifications and reminder text messages, include a notice that ""This notification was sent to X other subscribers like you!"".",2. Desires,SOCIAL INFLUENCE,0. No edits needed,,,,,,,,http://www.bhub.org/project/increasing-engagement-mobile-banking-nigeria/,,,no,"desires, influence, social, preferences, societal, influences, desire, aspirations, impulses, interests",190
ANTI-ATTRITION,ADDITIONAL BENEFITS,"At regular intervals, send notifications informing the person that there are additional program benefits (or features) that they may not currently be getting. This may encourage further exploration of the offering.",10. Maintains,PERIODIC COMMUNICATION,0. No edits needed,,,,,,,,http://www.bhub.org/project/increasing-engagement-mobile-banking-nigeria/,,,no,"periodic, benefits, maintains, additional, continuous, periodically, continual, provides, ensures, enhanced",191
ANTI-ATTRITION,RELATIVE REMINDERS,"Send notifications to participants at regular intervals that include performance or progress information (e.g., comparing their performance to their own past performance, or the performance of other people like them).",10. Maintains,FEEDBACK,0. No edits needed,,,,,,,"Rogers & Feller, 2017: Mailing parents letters emphasizing that “absences matter and you can help” reduced school year absences among Philadelphia school district students",https://www.wiseinterventions.org/posters/mailing-letters-emphaszing-that-absences-matter-and-you-can-help-reduced-school-year-absences-among-philadelphia-school-district-students,,,no,"feedback, reminder, updates, reviews, responses, input, remind, critiques, messages, suggestions",192
,PUNISHMENT,"The person is given what they perceive as a punishment if they don't engage in the desired behavior (e.g., they lose money from their account if they don't meet their goal).",2. Desires,PUNISHMENT,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"punishment, punishments, sentence, sentences, punished, penalty, punish, imprisonment, penalties, retribution",193
,CHAINING,"Take an existing habit the person already has and get them to tack an extra habit at the end of it (e.g., after they finish brushing their teeth every morning, they should immediately do a 5-minute meditation).",6. Chooses,AUTOMATIC,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"chaining, locking, automatic, lock, locked, adaptive, automatically, banging, locks, attaching",194
,EXTINCTION,"If the user's brain has learned a negative association through repeated experience (e.g., when I start a conversation with a stranger, the stranger will react negatively), have them be repeatedly exposed to the trigger in cases where the negative outcome is very unlikely to occur (e.g., have them start conversations with strangers repeatedly in environments where strangers are unlikely to react negatively).",6. Chooses,AUTOMATIC,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"annihilation, endangered, species, elimination, extermination, starvation, automatic, apocalypse, evolutionary, depletion",195
,SHAPING,"Rewards are given to the person for behaviors that are even slightly in the direction of the desired final behavior (relative to what they have been doing previously). For instance, if the goal is to get the person to do 20 push-ups a day, you start by rewarding them for doing just one push-up. Or in animal training, if you want to teach a dolphin to jump through a hoop, you initially reward the dolphin for just coming near the hoop, and once the dolphin has learned that, you start only rewarding it for putting its nose into the hoop, and so on.",6. Chooses,REWARDS,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"shaping, rewards, reward, incentive, chooses, motivates, defining, rewarded, encourages, shape",196
,NEGATIVE REINFORCEMENT,"When the person behaves as desired, you remove something that the person does not like (hence it acts as a kind of reward). For instance, in animal training, this could involve letting a dog out of a cage when it is sitting quietly instead of barking (i.e. you remove the cage, which it doesn't like, once the desired behavior occurs).",6. Chooses,REWARDS,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"rewards, reward, incentive, bonus, incentives, encourages, motivates, rewarded, motivation, chooses",197
,SOCIAL REWARD,"Giving the person social status or kudos from other people when they carry out the desired behavior (e.g., putting their name on a leader board that many people can see).",6. Chooses,REWARDS,0. No edits needed,,Maintains too,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"rewards, reward, incentive, bonus, rewarded, prizes, incentives, prize, loyalty, motivates",198
,MATERIAL REWARD,Give the person something material they want (like a product or money) when they do the desired behavior successfully.,6. Chooses,REWARDS,0. No edits needed,,Maintains too,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"rewards, reward, incentive, bonus, rewarded, incentives, prizes, motivates, prize, encourages",199
,THREAT,Make the user believe that something bad is going to happen if they don't adopt the desired behavior.,2. Desires,NEGATIVE EMOTIONS,0. No edits needed,,Maintains too,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"threat, threats, emotions, danger, desires, feelings, fear, concern, fears, concerns",200
,ANTICIPATION OF REWARDS,Make the person believe they will get a reward they want if they do the desired behavior.,2. Desires,REWARDS,0. No edits needed,,Maintains too,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"rewards, reward, incentive, rewarded, gratification, desires, bonus, incentives, loyalty, satisfaction",201
,INCREMENTAL INCENTIVE,"Design the incentives plan so that the more the person does the desired behavior, the more benefit they get.",10. Maintains,REWARDS,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"rewards, incentive, reward, incentives, incremental, bonus, benefits, discounts, rewarded, encourages",202
,BEHAVIOR SUBSTITUTION,"Teach the person to replace one undesired behavior with another, more desirable behavior that they will now do instead whenever they would have done the undesired behavior.",,,5. To be deleted,,Same as #306,,,,,"The Behavior Change Technique Taxonomy (v1)
of 93 Hierarchically Clustered Techniques:",,,,no,,203
,HABIT PRACTICE,"Get the person to practice a particular behavior over and over again in response to a trigger (e.g., show stimulus X, then have them take action Y, and repeat) to train a subconscious habit of doing Y when X occurs.",6. Chooses,AUTOMATIC,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,in use,"automatic, habit, automatically, chooses, habits, means, practice, regular, instead, easy",204
,GRADED TASKS,"Have the user get graded on their performance each time they do a task, giving them feedback so that they can improve.",9. Embodies,TRAINING,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"training, tasks, trained, skills, work, courses, teach, judged, excel, assignments",205
,RESTRUCTURING OF PHYSICAL ENVIRONMENT,Have the user change something about their physical environment (e.g. don't leave cookies out on the encounter) to make desired behaviors easier or undesired behaviors harder or less likely.,,,5. To be deleted,,Same as #8,,,,,"The Behavior Change Technique Taxonomy (v1)
of 93 Hierarchically Clustered Techniques:",,,,no,,206
,RESTRUCTURING OF SOCIAL ENVIRONMENT,"Have the user spend time with different people, or intervene with the people who the user spends time with, to change the social rewards and punishments and role models and social pressures that the user receives.",,,5. To be deleted,,Merged into #8,,,,,"The Behavior Change Technique Taxonomy (v1)
of 93 Hierarchically Clustered Techniques:",,,,no,,207
,REDUCE OR INCREASE CUES,"Get the person to practice a particular behavior over and over again in response to a trigger (e.g., show stimulus X, then have them take action Y, and repeat) to train a subconscious habit of doing Y when X occurs.",,,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"automatic, automatically, chooses, choose, determines, programmed, selects, selectable, reduces, prompts",208
,DISTRACTION,"When the user is about to or starts to engage in an undesired behavior, distract them or teach them to distract themselves in those situations.",6. Chooses,AUTOMATIC,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"automatic, unnecessary, disruptive, annoying, annoyance, irrelevant, pointless, embarrassment, irritating, simply",209
,EXPOSURE,"For fear that is preventing helpful action, expose the user with their permission to the things they fear in a context where no bad outcomes are going to occur. The situations should cause significant fear but not so much that they exit the situation before completion. It usually requires repeated exposure to reduce anxiety.",9. Embodies,MODIFIED ACTION,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"exposure, exposures, exposed, exposes, reflects, incorporates, recognizes, defines, mimics, demonstrates",210
,CLASSICAL CONDITIONING,"Creating an association between a stimulus X and an automatic subconscious response Y (e.g., linking a feeling of excitement to going to the gym) through many repeated exposures of the stimulus X where the response Y occurs immediately after (e.g., repeatedly having them think about the gym, and then with each instance causing them to feel excited immediately after).",6. Chooses,AUTOMATIC,0. No edits needed,,,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,no,"conditioning, automatic, classical, chooses, optional, automatically, adaptive, physical, programmed, rotational",211
,CONSEQUENCE SALIENCE,"Make the negative consequences of an undesirable behavior more salient, obvious, or vivid for the user.",2. Desires,NEGATIVE EMOTIONS,0. No edits needed,,Maintains too,,,,,"Michie, S., Wood, C., Johnston, M., Abraham, C., Francis, J., Hardeman, W., … Cane, J. (2013). The Behavior Change Technique (BCT) Taxonomy (v1) of 93 Hierarchically-clustered Techniques: Testing Reliability of the Taxonomy in Specifying the Content of Behavior Change Interventions. PsycEXTRA Dataset. doi: 10.1037/e576662013-001",,,,in use,"emotions, feelings, desires, impulses, consequences, negative, emotion, consequence, irrational, thoughts",212
