name,condition,description,most important words,synonyms
Burden of Proof Fallacy,Desires,"Burden of Proof Fallacy refers to the assumption that one's own argument is true unless explicitly disproven, and that the onus is on those who hold alternative viewpoints to disprove that view. In cases where this fallacy is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out when it is occurring. Over the longer-term, it might help to encourage people to practice epistemic humility and probabilistic thinking, because if they are willing to admit their beliefs could be wrong, and if they have an understanding of the concepts of probability and uncertainty, then they may be less likely to have beliefs of such a strong nature (that they insist on believing until someone goes to an effort to prove them wrong).",disproven onus viewpoints disprove refers fallacy burden explicitly assumption one's,"['blame', 'burden', 'obligation', 'overburdened', 'proof', 'responsibility', 'responsiblity', 'strain', 'toll', 'yoke']"
Change Bias in Memory,Maintains,"Change Bias in Memory refers to a phenomenon in which someone who engages in effortful behavior change later remembers their past performance or behavior as being more challenging than it was in reality. See also: Choice-Supportive Bias. In cases where this bias is encouraging a positive behavior (which it might, e.g., if someone has reached the maintenance stage and if this bias is making them think that their past way of doing things was suboptimal) or if it is discouraging a negative behavior, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out when it is occurring, or could attempt to reduce the chance that it happens in the future by encouraging people to keep a diary documenting their efforts over time (so that they can return to previous entries to remind themselves of how effortful their past performance actually was).",engages remembers challenging bias phenomenon refers behavior reality performance past,"['change', 'defrag', 'forget', 'memories', 'memory', 'refresh', 'remember', 'remembered', 'remembering', 'rewind']"
Cherry Picking Fallacy,Desires,"Cherry Picking Fallacy refers to the use of only a selected subset of available cases, data or other information when forming or supporting a particular conclusion (while ignoring the rest). In cases where this fallacy is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out when it is occurring, and could offer more representative sources of information. Over the longer-term, it might help to encourage people to develop skills in evaluating different levels of empirical evidence for updating their beliefs.",cherry subset forming picking ignoring refers fallacy selected supporting conclusion,"['browse', 'choose', 'customize', 'ignore', 'narrow', 'pick', 'pulldown', 'select', 'selecting', 'selects']"
Childhood Amnesia in Memory,Desires,"Childhood Amnesia in Memory refers to an individual's relative lack of memories from before the age of four. This phenomenon does not seem to be particularly likely to affect behavior change efforts in substantial ways, but it is theoretically possible that it might in certain situations, in which case the impact of the phenomenon could be explored. In cases where this phenomenon is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where it is counterproductive, a benevolent helper could point out when it is occurring. For example, if someone has a particular belief about their early childhood, or has some distress about not remembering their early childhood, and if this is affecting their current desires, intentions or likelihood of engaging in a particular behavior (or its alternatives), then it might help to explore this idea with them so that they realise their belief (about having memories from certain ages, or about being unusual for not having them) may not be accurate.",amnesia individual's memories childhood refers relative age lack four memory,"['amnesia', 'coma', 'concussion', 'consciousness', 'dizziness', 'forget', 'forgotten', 'memories', 'memory', 'remember', 'remembering', 'vertigo']"
Choice-supportive Bias,Maintains,"Choice-Supportive Bias refers to a cognitive bias whereby someone who has made a choice between different options later remembers the option that they chose as having more positive attributes than it did at the time (while the options they did not choose are remembered as having more negative attributes than they'd had at the time). Help people to notice the ways in which they seek to justify their old behavior. People may often overweight the benefits of the old behavior as a way of justifying that behavior, so helping them to notice that they're doing this may help them to be more mindful about giving up the old behavior and adopting the new behavior.",remembers cognitive whereby remembered attributes bias refers chose they'd negative,"['choice', 'choices', 'choose', 'choosing', 'congratulate', 'congratulations', 'endorse', 'remember', 'support', 'thank']"
Chronological Snobbery Fallacy,Desires,"Chronological Snobbery Fallacy refers to a bias against arguments, thought, or work from historically earlier time periods, merely due to the perception of having arisen at a ""less advanced"" time period than the present. In cases where this fallacy is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out counterexamples to demonstrate that this is a fallacy. Alternatively, they could point out more credible people/organizations who *also* believe the behavior is a good idea (i.e. evading the direct challenge of this fallacy by appealing to authority, instead of addressing the fact that less authoritative people also believe the same thing). For example, it has been believed that getting enough sleep is beneficial for health for some time, but this does not make the belief that sleep is important for health an invalid one (indeed, there are many longitudinal studies demonstrating measurable health benefits associated with adequate [but not excessive] levels of sleep).",snobbery chronological arisen historically periods perception bias refers fallacy advanced,"['arrogance', 'arrogant', 'bigot', 'condescending', 'cynic', 'history', 'hypocrisy', 'hypocrite', 'idiot', 'naive', 'snob', 'stupidity', 'time']"
Circumstantial Ad Hominem,Desires,Circumstantial Ad Hominem refers to an attempt to discredit a claim or argument by pointing out that the advocate's circumstances predispose them to have an interest in their claim. (Similar to Appeal to Motive Fallacy),advocate's predispose circumstantial hominem discredit refers pointing circumstances ad attempt,"['behaviors', 'biases', 'character', 'characteristics', 'circumstance', 'context', 'genes', 'instinct', 'instincts', 'interest', 'person', 'personality', 'predisposition', 'qualities', 'situation', 'trait', 'traits']"
Clustering Illusion,Desires,"The Clustering Illusion refers to a tendency to see patterns or clusters in samples drawn from random distributions. Show examples of people inaccurately finding patterns where they don't exist. For example, a person might think they notice that they tend to win more at a casino when wearing a certain tie; so they choose to wear a tie the next time they go to the casino, and they end up losing a lot of money. Explain that the identification of patterns is something that human brains do really well (even to a fault) and that pattern identification is nothing more than an intuition unless a clear causal or logical link can be established.",clustering clusters distributions illusion tendency samples patterns refers drawn random,"['cluster', 'clusters', 'galaxies', 'histogram', 'pattern', 'patterns', 'random', 'randomly', 'sample', 'sunspot']"
Confirmation Bias,Believes,Confirmation Bias refers to a tendency for people to favor information that confirms their preconceptions or hypotheses (even if the information isn't true). Help people to notice and adjust their expectations before asking them to adopt a new behavior that would challenge their preconceptions.,preconceptions confirms hypotheses confirmation tendency bias refers favor isn't true,"['beliefs', 'confirm', 'contradict', 'disagree', 'endorse', 'favor', 'oppose', 'opposes', 'preconception', 'prefer', 'reject', 'rejects', 'retract']"
Congruence Bias,Believes,"Congruence Bias refers to a tendency for people to test a given hypothesis by trying to directly test it, rather than testing alternative hypotheses. Help people to notice that performing the old behavior without ever having tried alternatives is an invalid way of proving that the old behavior is superior to alternatives.",hypotheses tendency hypothesis bias refers testing alternative directly test given,"['alternative hypothesis', 'congruence', 'direct', 'empirical', 'hypotheses', 'hypothesis', 'method', 'postulate', 'scientifically', 'test', 'theorem', 'theories', 'theory']"
Conjunction Fallacy,Desires,"The Conjunction Fallacy is a logical reasoning fallacy wherein someone assigns a lower probability to an event occurring in general than to the event occurring in combination with another event (in ""conjunction"" with another event). Aim for the adoption of a ""minimum viable version"" of the behavior since it is more likely that people will adopt few and small changes rather than large or many changes.",assigns wherein occurring conjunction probability fallacy combination reasoning logical lower,"['and', 'combination', 'conjunction', 'correlate', 'correlated', 'correlation', 'likelihood', 'multiplier', 'multiply', 'probabilities', 'probability', 'viii']"
Context Effect in Memory,Remembers,"Context-dependent memory refers to improved retrieval (or recall) of specific memories if the context present at the time of memory retrieval is the same as the context present at the time the memory was first stored (or encoded). This effect may make it particularly important to increase the salience of the behavior in certain contexts (e.g., especially contexts in which the behavior happens less frequently), and may make it more important to remind people of the beneficial effects of the behavior (especially in new contexts where they are less likely to have seen examples of such effects recently). In the maintenance stage, this may be important to take into consideration when someone is planning to move their behavior from one context to another (as it might be less likely that they remember to engage in the behavior if they switch to a different context) - possible ways to address this could include planning ahead and increasing the number of both physical and social reminders to engage in the behavior.",context-dependent retrieval memories encoded refers improved stored context recall present,"['context', 'decipher', 'decrypt', 'defrag', 'login', 'lookup', 'memory', 'password', 'remember', 'retrieve', 'retrieved', 'situation', 'specific', 'time', 'unsubscribe']"
Contrast Effect,Desires,"The Contrast Effect refers to the way in which someone's perception of something (e.g., a particular room temperature) can be distorted (relative to objective measurement, or relative to their typical experience) due to simultaneous or recent exposure to something that contrasts with it (e.g., a warmer outside temperature). Prime users to adjust to the new behavior by introducing gradual changes so that the new behavior isn't a shock to their systems.",contrasts warmer simultaneous distorted measurement exposure someone's perception temperature refers,"['contrast', 'correlation', 'distort', 'distorted', 'distortion', 'distortions', 'exposure', 'oversampling', 'parallax', 'perception', 'recent', 'simultaneous', 'subjective']"
Correlation Implies Causation Fallacy,Desires,"The Correlation Implies Causation Fallacy, as its name implies, is the fallacious assumption that correlation between two variables automatically implies that one causes the other. In cases where this fallacy is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could explain the distinct concepts of correlation and causation, and the differences between them, to demonstrate that this is a fallacy. ",causation fallacious correlation variables fallacy implies assumption automatically causes name,"['causal', 'causation', 'cause', 'correlate', 'correlated', 'correlation', 'empirical', 'hypotheses', 'hypothesis', 'invariant', 'provable', 'subjective']"
Denomination Effect,Desires,The Denomination Effect is a theoretical cognitive bias wherein people tend to be more likely to spend a given amount of money if it is composed of smaller individual sums than if it is composed of larger individual sums. Ask people to donate to a cause in small bills.,denomination cognitive wherein sums composed theoretical bias smaller tend spend,"['amount', 'bishop', 'bishops', 'coins', 'congregation', 'denomination', 'denominations', 'money', 'pastors', 'postage', 'size']"
Denying the Antecedent Fallacy,Intends,"Denying the Antecedent Fallacy is a logical fallacy about the relationships between categories or assertions. For the purpose of explaining this fallacy, let's imagine there are two categories of things, labeled as ""P"" and ""Q."" The Denying the Antecedent Fallacy takes the following form: ""If P, then Q. Not P. Therefore, not Q."" The fallacy is assuming that the third statement follows from the first two, although it doesn't follow (e.g., because there can be cases of Q that are not preceded by P). Just because Q always follows *if* P is true, this doesn't mean that Q must always be preceded by P.) In cases where this fallacy is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out this fallacy and/or point out counterexamples. For example, if someone notes that people who go to the gym regularly become physically fit, and then thinks that anyone who doesn't go to the gym regularly cannot become physically fit, then they would have succumbed to this fallacy and might be less likely to consider the full range of options available to them for meeting the goal of becoming physically fit. By pointing out the flaw in this reasoning, it may be possible to open up a wider range of possible plans that the person could form (e.g., in order to meet their behavioral goals).",antecedent preceded relationships assertions labeled categories denying explaining fallacy logical,"['after', 'analogy', 'antecedent', 'axiomatic', 'deny', 'hadith', 'hypothesis', 'motive', 'premise', 'refutation', 'subjective', 'syllogism', 'theism']"
Disjunction Fallacy,Desires,"The Disjunction Fallacy refers to an error in probabilistic reasoning, whereby people estimate that the probability of an event happening exceeds the probability of *either* that event *or* another event happening. When talking about the probability of two events (let's call them A and B), if you want to talk about the probability of *either* event occuring (i.e., the probability of *either* A occuring OR B occuring), this can be referred to as the disjunction of those events. The probability that *either* event occurs will be larger than the individual probabilities of A occuring or of B occuring. When someone believes that the probability of one of the individual events somehow exceeds the probability of the disjunction of those events, they have fallen prey to the Disjunction Fallacy. In cases where this fallacy is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out this fallacy and/or point out counterexamples. ",disjunction probabilities probabilistic prey exceeds occuring whereby estimate fallen probability,"['algebraic', 'correlation', 'dichotomy', 'disjunct', 'disjunction', 'either', 'entropy', 'intentionality', 'or', 'probability', 'randomness', 'spacetime', 'subjective', 'tautology']"
Disregard of Regression Toward the Mean,Maintains,"Disregard of Regression Toward the Mean refers to any case of reasoning that fails to take into account the tendency for random events to exhibit regression toward the mean. ""Regression toward the mean"" refers to the observation that when sampling a random variable, an extreme (or very unlikely) outcome will, on average, be followed by less extreme outcomes. (Note that the Gambler's Fallacy does *not* represent a rational solution to this problem, because in Gambler's Fallacy the person believes that a future event ""compensates"" for a past event, and that is not what is happening in regression toward the mean.) In cases where this fallacy is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out this fallacy and/or point out counterexamples. If someone is disregarding the tendency for performance to regress toward the mean, they may be unrealistically optimistic about their behavior change goals and their probability of meeting and sticking to those goals, so it might be beneficial to point this fallacy out to them if it helps them to better plan ahead, set more realistic expectations, and give themselves more credit for the rising to the challenge of engaging in the behavior despite it not being what they are necessarily statistically likely to do.",compensates gambler's outcomes regression sampling exhibit tendency disregard outcome refers,"['average', 'correlation', 'disregard', 'percentages', 'prevalence', 'probabilities', 'probability', 'regression', 'statistic', 'statistical', 'statistics']"
Distinction Bias,Chooses,"Distinction Bias refers to a tendency to view two options as more dissimilar to each other when they are being simultaneously evaluated than when they are being separately evaluated. Bring the old behavior and the new behavior into contrast, exploring the pros and cons of each. People may not think of the behaviors as competing with each other (and thus may not compare them to each other), or they may think that the behaviors are similar enough that choosing one over the other doesn't matter very much.",dissimilar evaluated tendency separately bias refers distinction simultaneously options view,"['concurrent', 'concurrently', 'differing', 'distinction', 'distinctions', 'options', 'parallels', 'separate', 'similar', 'similarities', 'similarity', 'simultaneous']"
Division Fallacy,Desires,"The Division Fallacy is a logical reasoning fallacy wherein statements about a category (e.g., the characteristics of a group of people) are assumed to apply to some or all parts of that category (e.g., to individual people in the group). See also: Ecological Fallacy. In cases where this fallacy is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out this fallacy and/or point out counterexamples. For example, if someone was assuming that anyone who engages in a particular behavior ""must"" have a certain set of characteristics, and if they believed those characteristics were not desirable, then it could be helpful to point out the fallacy in their argument in order to encourage them to reconsider a behavior that they may have otherwise dismissed as undesirable.",ecological wherein characteristics fallacy category reasoning assumed logical statements apply,"['all', 'applies', 'apply', 'categories', 'category', 'classification', 'division', 'divisions', 'qualify', 'segment', 'some', 'specialize']"
Dunning–Kruger Effect,Knows,"The Dunning-Kruger Effect refers to a phenomenon in which people who are less adept at a particular skill appear to overestimate their abilities (suffering from illusory superiority), while those who are more highly skilled appear to underestimate their abilities (suffering from illusory inferiority). As Kruger and Dunning noted, ""the miscalibration of the incompetent stems from an error about the self, whereas the miscalibration of the highly competent stems from an error about others"". In cases where this effect is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out this effect and/or point out examples of ways in which it might apply. For example, if someone was assuming that they already know enough information to be able to perform a complex new behavior, it might help to point out to them that people with less knowledge of an area are less equipped to assess their own skill level in that area and less equipped to understand the relative difficulty of that behavior (which can also contribute to the Planning Fallacy). If the person is equipped with this knowledge and takes it into consideration, this may enable them to set more realistic expectations and goals, which might increase the chance that they remain motivated to continue improving their skills over time and to maintain the behavior over time.",overestimate inferiority dunning illusory adept stems superiority underestimate skilled incompetent,"['ascribe', 'competent', 'estimate', 'incompetent', 'infallible', 'inferior', 'misrepresent', 'misunderstand', 'outweigh', 'overestimate', 'skill', 'subjective', 'superior', 'underestimate']"
Ecological Fallacy,Desires,The Ecological Fallacy refers to the fallacious assumption that individual members of a group possess the average characteristics of the group at large. (Similar to Division Fallacy),ecological fallacious possess characteristics refers fallacy assumption average members individual,"['attributes', 'average', 'behaviors', 'characteristics', 'gene', 'genes', 'genetic', 'group', 'individuals', 'instincts', 'qualities', 'similarities', 'trait', 'traits']"
Egocentric Bias,Desires,"[note to self - need to come back to this row. it seems that egocentric bias is a broader term than this description would suggest] This occurs when people claim more personal responsibility for the results of a joint action than an outside observer would credit them. This is unique because they will take an unfair share of credit for both positive and negative results. In cases where this bias is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this bias is counterproductive, a benevolent helper could point out this effect and/or point out examples of ways in which it might apply. However, this bias might be motivating and might encourage positive behaviors in many situations: for example, if someone has committed to a particular behavior change because they believe it will contribute to a group activity or goal, then if they imagine that they have a large role to play in that group activity or goal, this would increase the perceived importance of them planning and successfully engaging in the desired behavior. Similar reasoning may also motivate people to continue the positive behavior once they reach the Maintains stage.",egocentric broader unfair joint row bias observer unique negative credit,"['accountable', 'action', 'blame', 'credit', 'impartial', 'irresponsible', 'observer', 'responsibility', 'result', 'subjective', 'unfair', 'unjust']"
Endowment Effect (aka Divestiture Aversion),Maintains,"The Endowment Effect refers to a phenomenon in which one places a higher value on objects that they own than on objects they do not. In cases where this bias is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this bias is counterproductive, a benevolent helper could point out this effect and/or point out examples of ways in which it might apply. This bias might be able to be leveraged by encouraging people to purchase or create something that represents, or is the consequence of, the commencement and/or continuation of the positive behavior. ",endowment phenomenon refers objects places higher effect value own than,"['distributions', 'endowed', 'endowment', 'higher', 'holdings', 'intellect', 'lower', 'objects', 'own', 'possess', 'premiums', 'subjective', 'surplus', 'tuition', 'value']"
Etymological Fallacy,Desires,"The Etymological Fallacy refers to a fallacious assumption that the historical meaning of a word or phrase is necessarily similar to (or can be used to clarify) its present-day meaning. In cases where this fallacy is encouraging a positive behavior (such as by a positive association with some word that the person incorrectly assumes is related to a word that describes the behavior), or discouraging a negative one (such as by an historically negative connotation of a word that describes a negative behavior), this may not need to be rectified. In cases where this bias is counterproductive, a benevolent helper could point out this fallacy if/when it has already occurred. Alternatively, they could try to avoid situations where the fallacy arises in the first place, by being as careful and accurate as possible (both in the actual content of information, and in the ways in which the information is likely to be interpreted, taking the etymological fallacy into account) in the way they communicate about the behavior.",etymological present-day fallacious clarify refers fallacy phrase assumption historical meaning,"['current', 'dictionary', 'etymology', 'history', 'idiom', 'lexicon', 'meanings', 'modern', 'origin', 'origins', 'phrase', 'proverb', 'proverbs', 'similar', 'slang', 'verb', 'word']"
Experimenter's or Expectation Bias,Considers,"Expectation Bias can be defined as a ""tendency for experimenters to believe, certify, and publish data that agree with their expectations for the outcome of an experiment, and to disbelieve, discard, or downgrade the corresponding weightings for data that appear to conflict with those expectations,"" ([Fanelli & Ioannidis, 2013](https://www.researchgate.net/publication/2173742_A_selected_history_of_expectation_bias_in_physics#:~:text=Expectation%20bias%20is%20the%20tendency,to%20conflict%20with%20those%20expectations.)). (Is this just basically Confirmation Bias but specific to science?)",2013 certify ioannidis downgrade experimenters www discard disbelieve expectation expectations,"['agree', 'believe', 'certify', 'conflict', 'data', 'disbelieve', 'discard', 'downgrade', 'expectation', 'experiment', 'login', 'misrepresent', 'publish', 'retract', 'revise', 'subjective', 'uninstall', 'verify', 'weight']"
Fading Affect Bias in Memory,Maintains,"Fading Affect Bias in Memory refers to a tendency for the emotion(s) associated with unpleasant memories to fade more quickly than the emotion(s) associated with pleasant memories. In cases where this bias is encouraging a positive behavior or if it is discouraging a negative behavior, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out when it is occurring, or could attempt to reduce the chance that it happens in the future by encouraging people to keep a diary documenting their affective experiences over time (so that they can return to previous entries to remind themselves of how emotionally varied [as opposed to uniformly positive] their past experiences actually were). This may be particularly important to ensure the Maintains condition continues to be met (otherwise the person may be at risk of becoming demotivated, if they believe that things were better before they changed their behavior in this way).",fading unpleasant fade emotion memories pleasant tendency bias refers affect,"['affect', 'depressing', 'emotion', 'emotional', 'emotions', 'fade', 'feeling', 'negative', 'pleasant', 'positive', 'subjective', 'unpleasant']"
Fallacy of Composition,Desires,"The Fallacy of Composition refers to the fallacious assumption that something is true of the whole simply because it is true of some part of the whole (or even of every proper part of the whole). In cases where this fallacy is encouraging a positive behavior, or discouraging a negative one, this may not need to be rectified. In cases where this bias is counterproductive, a benevolent helper could point out this fallacy and/or provide counterexamples. This fallacy might be particularly relevant for people who desire and/or are planning for or enacting a behavior, but who differ significantly from the majority of people who engage in that behavior. The same benefits and risks that apply to a large subgroup (e.g., neurotypical individuals without mental illness) may not apply to subpopulations who differ in meaningful ways from that majority (e.g., people who do not fit into that category), and this might lead people in that subpopulation to form unrealistic expectations, unrealistic plans, unrealistic risk:benefit evaluations, and unwarranted optimism (or pessimism) regarding their ability to maintain the behavior once they have started it. By realising the ways in which they differ from the rest of the population, this might help the subpopulation to more realistically plan, think about, enact and maintain the behavior (perhaps using different strategies from the rest of the population). For example, regularly practicing mindfulness meditation has been shown in multiple studies to produce mental health benefits, but this does not imply that regular mindfulness meditation would benefit everyone (and there are some subpopulations with mental health concerns that might preclude them from some of the benefits, e.g., people with dissociative identity disorder or a history of trauma might in some cases be harmed rather than helped by some of the states induced by mindfulness meditation). Those people may then be disappointed or actively harmed in their attempt to start and continue a behavior that is being recommended to the general population (unless they adapt the behavior and their way of enacting it to suit their particular needs).",fallacious composition refers fallacy assumption proper whole simply true every,"['atoms', 'composed', 'composition', 'dynamics', 'morphology', 'part', 'redraws', 'subjective', 'texture', 'varies', 'whole']"
Fallacy of False Dilemma,Desires,"Involves a situation in which only two alternatives are considered, when in fact there are additional options. In cases where this fallacy is encouraging a positive behavior (e.g., ""you either engage in this important behavior from now on or you don't"" - if such reasoning is motivating [rather than discouraging] for the person in question, then this might be helpful in encouraging the positive behavior), or discouraging a negative one, this may not need to be rectified. In cases where this bias is counterproductive (e.g., when black and white thinking is counterproductive for someone sticking to their goals after temporary lapses), a benevolent helper could point out this fallacy and/or could provide ideas for alternative options beyond the two that the person is currently considering. ",involves alternatives additional options situation considered fact two only when,"['additional', 'alternative', 'alternatives', 'choices', 'cons', 'feasibility', 'opportunities', 'option', 'options', 'possibilities', 'remedies', 'two']"
Fallacy of Gray,Maintains,"The Fallacy of Gray is a belief that because nothing is certain, everything is equally uncertain. (That is, this fallacy overlooks the fact that it is possible to quantify and to compare different levels of uncertainty.) In cases where this fallacy is encouraging a positive behavior, or discouraging a negative one, this may not need to be rectified. In cases where this bias is counterproductive (e.g., when someone doesn't distinguish between a minor, a moderate or a major lapse in the behavior, leading them to potentially underplay the importance of the maintenance stage, and/or to fail altogether at this stage), a benevolent helper could point out this fallacy and/or could point out counterexamples. ",quantify uncertainty uncertain gray fallacy equally levels compare belief certain,"['certain', 'coy', 'doubtful', 'gray', 'grey', 'grim', 'uncertain', 'uncertainty', 'unclear', 'undefined', 'unknowable', 'unknown']"
Fallacy of the Single Cause,Intends,"Fallacy of the Single Cause refers to a fallacious assumption that there is a single cause of an outcome (whereas in reality, the outcome may instead be attributable to a number of only jointly sufficient causes). In cases where this fallacy is encouraging a positive behavior (e.g., by encouraging people to believe that a specific positive behavior is all that they need in order to be happy,) or discouraging a negative one, this may actually increase the probability of positive behaviors being desired and enacted in the short-term, but it might also lead to unrealistic expectations regarding the outcomes of the behavior change in question, and might lead to greater disappointment and demotivation when those expectations are not met. In cases where this fallacy is counterproductive, a benevolent helper could point out that this is a fallacy by sharing examples or evidence demonstrating that the phenomenon in question would not have happened if some of the jointly sufficient causes were not present (e.g., pointing out that someone who engages in regular physical activity would not have been able to get back into a healthy weight range if they did not also e.g., consult with a dietician and adjust their caloric intake as well). Noting when this fallacy is occurring could be particularly helpful in cases where someone needs assistance forming realistic plans to start the behavior, has formed unrealistic expectations about the effects of the behavior and/or its advantages over alternative behaviors, or has formed unrealistic expectations regarding the sufficient conditions for maintenance of the behavior. By questioning their assumptions and developing a better understanding of the sufficient causes of specific outcomes, they might be better-equipped to form more realistic plans, which should increase the chances of successfully starting and maintaining the behavior in question.",attributable jointly fallacious outcome refers fallacy whereas assumption sufficient causes,"['ascribe', 'attribute', 'attributed', 'cause', 'causes', 'factor', 'factors', 'many', 'multiple', 'outcome', 'result', 'single', 'subjective']"
Fallacy of the Undistributed Middle,Desires,"Fallacy of the Undistributed Middle is a logical fallacy about the relationships between categories or assertions. For the purpose of explaining this fallacy, let's imagine there are three categories of things, labeled as ""A,"" ""Y,"" and ""Z."" The Fallacy of the Undistributed Middle has the following form: ""All Zs are As. Y is an A. So Y is a Z."" The fallacy is to assume that the third statement follows from the previous two, but it does not. (It would instead follow from the following: ""All As are Zs, and Y is an A."") In cases where this fallacy is encouraging a positive behavior, or discouraging a negative one, this may actually increase the probability of positive behaviors being desired and enacted in the short-term (and so might not need to be rectified immediately), but it might also lead to unrealistic expectations regarding the outcomes of the behavior change in question, which might decrease the chances of the person successfully engaging in and maintaining a desired behavior change. In such cases, it might help to point out the fallacy and to encourage the person to reconsider the situation and/or to gather more information in order to form more accurate beliefs.",zs relationships assertions labeled categories explaining fallacy logical follows z,"['allegation', 'assertion', 'assertions', 'assumption', 'category', 'distribute', 'group', 'hypothesis', 'middle', 'notion', 'premise', 'statement', 'stereotype']"
False Analogy Fallacy,Intends,"The False Analogy Fallacy refers to a fallacious assumption that if two things are similar in some ways, and if one of those things has a certain property, then the other thing will also have that property. For example, if we call these two things A and B, the False Analogy Fallacy has the following form: ""A and B are similar in some ways. A has property X, therefore B has property X."" If B does not have property X, then this represents an example of the False Analogy Fallacy. In cases where this fallacy is encouraging a positive behavior, or discouraging a negative one, this may actually increase the probability of positive behaviors being desired and enacted in the short-term (and so might not need to be rectified immediately), but it might also lead to unrealistic expectations regarding the outcomes of the behavior change in question, which might decrease the chances of the person successfully engaging in and maintaining a desired behavior change in the longer-term. In such cases, it might be helpful to point out the fallacy and to work towards forming a more realistic appraisal of the situation in question, in order to form more realistic plans for commencing and continuing the behavior. For example, if someone observes that someone else has decided to engage in the same positive behavior as them, and if their choice was based on the same value (e.g., both of them value fitness and have chosen to increase their activity levels), then they may erroneously assume that they will also have other characteristics in common with the person (e.g., they may assume they both need to meet the goal in the same way and will run into the same challenges). If this fallacy is identified and actively avoided, then this should increase the degree to which the person seeks information from a wider range of (non-anecdotal) sources before forming (hopefully more realistic) plans for implementing and maintaining the behavior.",fallacious refers fallacy analogy represents assumption property false ways form,"['analogies', 'analogy', 'ascribe', 'attribute', 'cite', 'correlation', 'equate', 'metaphor', 'parallels', 'property', 'similar', 'subjective']"
False Consensus Effect,Considers,"The False Consensus Effect refers to a tendency to overestimate the degree to which others agree with one's own opinions, and to overestimate the relative normality of one's beliefs. This effect may reduce the probability that someone seeking to promote a positive behavior to others (e.g., a health promotion officer) realizes that others are not even aware of the possibility of the behavior or its positive outcomes. By considering this effect and planning for it, the person promoting the behavior may be more likely to seek information regarding the current state of knowledge (or ignorance) of the target audience, which may then help them to plan how best to increase their awareness of the positive behavior. The effect may also affect the way someone plans, implements and maintains a behavioral change (e.g., if they assume that everyone agrees with them, they may not adequately plan for some potential setbacks, such as peer pressure to restart smoking).",overestimate tendency consensus refers relative one's degree beliefs false effect,"['agree', 'consensus', 'estimate', 'estimates', 'estimating', 'forecast', 'normality', 'predict', 'prediction', 'predictions', 'projection', 'projections']"
Focusing Effect,Desires,"The Focusing Effect (or Focusing Illusion) refers to a cognitive bias wherein people place too much importance on one piece of information, or one aspect of an event (especially the aspect they happen to be thinking about), when drawing a conclusion or predicting an outcome. (Note: this bias relates to the way in which someone thinks about something, making it distinct from Attentional Bias, which relates to specific features of the environment.) Draw people's attention to the positive aspects of the new behavior and/or the benefits of adopting the new behavior. Similarly, draw their attention to the negative aspects of the old behavior and/or the costs of the old behavior.",cognitive wherein focusing predicting illusion relates distinct outcome bias refers,"['attention', 'concentrate', 'concentrating', 'emphasis', 'focus', 'focused', 'focusing', 'importance', 'information', 'narrow', 'significance']"
Forer (or Barnum) Effect,Desires,"The Forer Effect refers to a tendency for people to ascribe high levels of accuracy to a description of their personality that is presented as being tailored to them, despite the fact that it is vague enough to apply to a wide range of people. This effect may increase the degree to which people identify with materials distributed to them regarding the behavior and/or its potential benefits in someone's life (e.g., if a pamphlet is distributed offering ideas for low-cost aerobic activity for people to try, and if it includes statements such as ""if your busy lifestyle leaves you with very little time to plan to exercise..."", then the Forer effect might mean that the readers perceive the material as being more relevant to them and their specific situation than it really is - and for some people, this might increases their desire to engage in the behavior in question). Thus, in cases where this effect is encouraging a positive behavior or discouraging a negative one, this effect may not need to be rectified and could instead be leveraged to increase the chances of desired outcomes. In cases where this effect is counterproductive, on the other hand, then a benevolent helper could point it out and provide suggestions for alternative ways of thinking about the situation in question. ",tailored ascribe tendency vague personality refers accuracy presented levels despite,"['accuracy', 'broad', 'concise', 'configurable', 'custom', 'customizable', 'customization', 'customize', 'customized', 'description', 'descriptions', 'personality', 'specific', 'subjective', 'tailored', 'vague']"
